Samples	Type
Tumor_0	Tumor
Tumor_1	Tumor
Tumor_2	Tumor
Tumor_3	Tumor
Tumor_4	Tumor
Tumor_5	Tumor
Tumor_6	Tumor
Tumor_7	Tumor
Tumor_8	Tumor
Tumor_9	Tumor
Tumor_10	Tumor
Tumor_11	Tumor
Tumor_12	Tumor
Tumor_13	Tumor
Tumor_14	Tumor
Tumor_15	Tumor
Tumor_16	Tumor
Tumor_17	Tumor
Tumor_18	Tumor
Tumor_19	Tumor
Tumor_20	Tumor
Tumor_21	Tumor
Tumor_22	Tumor
Tumor_23	Tumor
Tumor_24	Tumor
Tumor_25	Tumor
Tumor_26	Tumor
Tumor_27	Tumor
Tumor_28	Tumor
Tumor_29	Tumor
Tumor_30	Tumor
Tumor_31	Tumor
Tumor_32	Tumor
Tumor_33	Tumor
Tumor_34	Tumor
Tumor_35	Tumor
Tumor_36	Tumor
Tumor_37	Tumor
Tumor_38	Tumor
Tumor_39	Tumor
Tumor_40	Tumor
Tumor_41	Tumor
Tumor_42	Tumor
Tumor_43	Tumor
Tumor_44	Tumor
Tumor_45	Tumor
Tumor_46	Tumor
Tumor_47	Tumor
Tumor_48	Tumor
Tumor_49	Tumor
Tumor_50	Tumor
Tumor_51	Tumor
Tumor_52	Tumor
Tumor_53	Tumor
Tumor_54	Tumor
Tumor_55	Tumor
Tumor_56	Tumor
Tumor_57	Tumor
Tumor_58	Tumor
Tumor_59	Tumor
Tumor_60	Tumor
Tumor_61	Tumor
Tumor_62	Tumor
Tumor_63	Tumor
Tumor_64	Tumor
Tumor_65	Tumor
Tumor_66	Tumor
Tumor_67	Tumor
Tumor_68	Tumor
Tumor_69	Tumor
Tumor_70	Tumor
Tumor_71	Tumor
Tumor_72	Tumor
Tumor_73	Tumor
Tumor_74	Tumor
Tumor_75	Tumor
Tumor_76	Tumor
Tumor_77	Tumor
Tumor_78	Tumor
Tumor_79	Tumor
Tumor_80	Tumor
Tumor_81	Tumor
Tumor_82	Tumor
Tumor_83	Tumor
Tumor_84	Tumor
Tumor_85	Tumor
Tumor_86	Tumor
Tumor_87	Tumor
Tumor_88	Tumor
Tumor_89	Tumor
Tumor_90	Tumor
Tumor_91	Tumor
Tumor_92	Tumor
Tumor_93	Tumor
Tumor_94	Tumor
Tumor_95	Tumor
Tumor_96	Tumor
Tumor_97	Tumor
Tumor_98	Tumor
Tumor_99	Tumor
Tumor_100	Tumor
Control_0	Control
Control_1	Control
