GeneID	Fitted.with.Significant.Coefficients	Fitted.with.Significant.Coefficients.No.Limma
ENSG00000000460	-0.0776343	-0.0970429
ENSG00000000938	-1.3860797	0.0000000
ENSG00000000971	-5.8831457	-5.5363438
ENSG00000001561	-1.8473359	-0.8350215
ENSG00000001617	-2.7860259	-1.9399882
ENSG00000002587	-1.7350043	-0.9538629
ENSG00000002822	-0.2060272	-0.2575340
ENSG00000002933	-19.2088979	-24.0111224
ENSG00000003137	-3.1097541	-2.4443357
ENSG00000003147	-3.3426561	-2.1801116
ENSG00000003393	-0.0776343	-0.0970429
ENSG00000003400	-3.2055209	-2.3214459
ENSG00000003436	-0.2060272	-0.2575340
ENSG00000004468	-1.7519045	-0.8640517
ENSG00000004534	-1.9451465	-0.4799092
ENSG00000004700	1.2646462	3.2799444
ENSG00000004779	-0.0776343	-0.0970429
ENSG00000004846	-0.4105883	-0.5132354
ENSG00000004848	-1.7174165	-0.9037461
ENSG00000004866	-0.2060272	-0.2575340
ENSG00000004897	1.1769102	3.1718583
ENSG00000004961	-0.0776343	-0.0970429
ENSG00000005022	-0.0776343	-0.0970429
ENSG00000005238	-0.0776343	-0.0970429
ENSG00000005302	-0.0776343	-0.0970429
ENSG00000005339	-0.0776343	-0.0970429
ENSG00000005379	-3.2907714	-2.6885942
ENSG00000005700	-0.0776343	-0.0970429
ENSG00000005844	-3.9585942	-3.4000157
ENSG00000005889	-0.0776343	-0.0970429
ENSG00000006007	-0.0776343	-0.0970429
ENSG00000006125	-1.3417448	-0.0914167
ENSG00000006128	-4.2170959	-5.2713699
ENSG00000006534	-0.2060272	-0.2575340
ENSG00000006634	0.2455425	1.8599298
ENSG00000006740	-3.1375648	-2.1371501
ENSG00000006837	-0.2060272	-0.2575340
ENSG00000007038	-1.7632073	-0.9133738
ENSG00000007174	-3.4370024	-2.7265681
ENSG00000007202	-0.0776343	-0.0970429
ENSG00000007237	-0.2060272	-0.2575340
ENSG00000007312	1.3957386	3.2285819
ENSG00000007350	-1.4214721	-1.7768402
ENSG00000007402	-1.8193499	-0.8500923
ENSG00000007516	-1.3860797	0.0000000
ENSG00000007952	-1.3860797	0.0000000
ENSG00000008018	-0.0776343	-0.0970429
ENSG00000008118	-1.5835789	-0.8746366
ENSG00000008128	-2.8733296	-1.8952334
ENSG00000008311	-0.0776343	-0.0970429
ENSG00000008517	-6.0295390	-5.7059490
ENSG00000008735	-1.1487489	-1.4359361
ENSG00000009307	-0.0776343	-0.0970429
ENSG00000009335	-0.0776343	-0.0970429
ENSG00000009844	1.0689867	3.0388013
ENSG00000009950	-1.3860797	0.0000000
ENSG00000009954	-0.0776343	-0.0970429
ENSG00000010165	-0.0776343	-0.0970429
ENSG00000010270	-0.0776343	-0.0970429
