	PC1	PC2
ENSG00000000971	-0.0245481315735169	0.996800618812832
ENSG00000001561	-0.0125950164451823	0.00159107887988182
ENSG00000001617	-0.0159425135304826	-0.00048349859956525
ENSG00000002587	-0.0226873428459676	-0.00280702962945483
ENSG00000002745	-0.0074850931364803	0.000173822913922683
ENSG00000003137	-0.0237858462864589	-0.000849707383160024
ENSG00000003400	-0.0169713968198945	0.00140608899616599
ENSG00000004468	-0.0144306663242439	0.000267022140526371
ENSG00000004846	0.0120448905942473	0.000721286540331556
ENSG00000004848	-0.0127039878221211	0.000364245179328811
ENSG00000004948	-0.0106320852330935	-0.000318690887490837
ENSG00000005073	-0.00891047834448637	-0.000216533588076329
ENSG00000005379	-0.0251909760997727	-0.00125977070940799
ENSG00000005844	-0.0299332221714975	0.000688334932594348
ENSG00000005981	-0.0159494111310132	0.000411781422220967
ENSG00000006047	-0.00655285677410716	-0.000288881372723026
ENSG00000006128	0.0141177898332013	0.000925950042327466
ENSG00000006210	-0.0117289253824467	-0.00369440224667186
ENSG00000006283	-0.00855469762424482	0.000325890415105366
ENSG00000006740	-0.0128249561967197	0.000481937405726759
ENSG00000007038	-0.00709334469150121	1.48263747808704e-05
ENSG00000007062	-0.00638647157005976	0.00154852034131901
ENSG00000007171	-0.00581462633651995	-0.00100711854903142
ENSG00000007174	-0.0188529664069068	-0.000317576277548453
ENSG00000007255	-0.00960173371444243	-0.000432568495298364
ENSG00000007350	-0.00868347764662597	-0.00221452495146117
ENSG00000007402	-0.0110173429555369	-0.00216529004497267
ENSG00000008086	0.00962049042117971	0.00041431977051283
ENSG00000008118	-0.0194952923051545	-0.000581215515083623
ENSG00000008128	-0.0126434217552904	-0.00102753443606532
ENSG00000008516	-0.00923907919206039	-0.00211825520021828
ENSG00000008517	-0.025247347042711	0.00146078123748763
ENSG00000008735	-0.00887035777658851	-0.00336555987708899
ENSG00000009694	-0.0068252571588433	-0.000690285241478042
ENSG00000009765	-0.0152841838722802	-0.000235429697219409
ENSG00000010030	-0.00673910983262427	-0.00166266869371569
ENSG00000010282	-0.0168484114196152	-0.000490704083019572
ENSG00000010319	-0.02256618144877	0.00151793648305592
ENSG00000010671	-0.0192856962986488	-0.00167370432607332
