	PC1	PC2
ENSG00000000938	-0.0207851395479676	-0.497911849820853
ENSG00000000971	-0.0157044853753635	-0.00134801734803498
ENSG00000001561	-0.00868028440142075	-0.00107790540550712
ENSG00000001617	-0.0110299894886814	-0.00222402907169753
ENSG00000002079	-0.00885688228745887	-0.00116404515882546
ENSG00000002587	-0.0128037541654815	0.00637909526749855
ENSG00000002726	-0.0129369537288411	0.00631412406208204
ENSG00000002745	-0.00685515364297869	-0.000187655149215924
ENSG00000002746	-0.0143453738315675	-0.000685078873848336
ENSG00000003137	-0.0175327526394127	0.00407241554937707
ENSG00000003400	-0.0109831540684957	-0.011669503585634
ENSG00000004468	-0.00890233688115681	0.00512599635668594
ENSG00000004846	0.0117772308695571	-0.0258164452106596
ENSG00000004848	-0.00881871426446766	0.0020106787168268
ENSG00000004948	-0.0107734497997136	0.00421331722529218
ENSG00000005073	-0.00543260447338425	0.000506226512117373
ENSG00000005206	-0.00511787995508454	0.000659740764058758
ENSG00000005379	-0.0165662881529709	-0.0143928079443063
ENSG00000005844	-0.0210218121857121	-0.00394166798583237
ENSG00000005981	-0.0158607736113926	-0.00142425059408411
ENSG00000006047	-0.00532016801886824	0.0116074428761525
ENSG00000006128	0.0155861549612427	0.00129029891826725
ENSG00000006210	-0.00719039626032643	-0.0256000298152978
ENSG00000006283	-0.00587920858470873	-0.0123360412142936
ENSG00000006606	-0.00635005108578079	5.87204482139316e-05
ENSG00000006740	-0.00805458582739884	-0.000772706277550106
ENSG00000006747	0.00203280345565658	0.0254513730750202
ENSG00000007001	-0.00646017596498015	5.00446020715956e-06
ENSG00000007038	-0.00285301096458846	-0.0124379957420013
ENSG00000007062	-0.00415808722128275	-0.000450151124376306
ENSG00000007174	-0.00810431561906378	0.00235914338119297
ENSG00000007255	-0.00519701084690689	0.0258699950499801
ENSG00000007350	-0.00407738659879815	-0.000410787506445113
ENSG00000007402	-0.00796530490427873	-0.000729157417107119
ENSG00000008118	-0.0124347020021574	0.00655910910018664
ENSG00000008516	-0.00768059065236614	-0.000590281375178323
ENSG00000008517	-0.0177533957182272	0.0165892178376088
ENSG00000008735	-0.00507679395754653	0.000679781421238526
ENSG00000009694	-0.00903266414324191	-0.00124978687428248
ENSG00000009765	-0.0147656590984238	-0.000890082852222776
ENSG00000009950	-0.0181945706325225	-0.00256261472858923
ENSG00000010030	-0.0035993934303061	0.0250712170829473
ENSG00000010282	-0.0178718412637284	0.00390701713432865
ENSG00000010319	-0.0154588247186033	-0.00122819061144097
ENSG00000010327	-0.00738285460587647	-0.0256939058790586
ENSG00000010379	-0.00465444320186113	0.00561995268345271
ENSG00000010438	0.00264216753243396	-0.000289274193657611
ENSG00000010671	-0.0119059089162216	0.000504827249893657
ENSG00000011083	-0.00685024688719312	-0.0128096878796937
ENSG00000011201	-0.00378192013420898	0.00131138644337678
ENSG00000011347	-0.00968727191723178	-0.00156908714132863
ENSG00000011465	-0.0260211815581999	0.0251808378492303
ENSG00000011590	-0.0116103929335458	0.000648972088885849
ENSG00000012124	-0.0022101451340285	0.000500003232727831
ENSG00000012171	-0.0117781635537352	0.00056713804114385
ENSG00000012223	-0.0124898106015019	0.000220015532943946
ENSG00000012504	-0.00463966293696914	0.000893002310373088
ENSG00000012779	-0.0223191363289431	0.0143621709643653
ENSG00000013293	-0.00756815253612029	0.00577677600609711
ENSG00000013725	-0.00859538796011132	0.00211961135015742
ENSG00000015133	-0.0107877715231078	0.00420633146941508
ENSG00000015285	-0.018816307545811	-0.00286588146377548
ENSG00000015520	-0.00730733666145907	0.00590399505502715
ENSG00000017373	-0.00855436803131746	0.0273884720117329
ENSG00000017427	-0.00838576091650379	-0.000934244680532589
ENSG00000017483	-0.00282129129882315	0.026239781246254
ENSG00000018280	-0.00967011842185361	-0.00156072012237064
ENSG00000018607	-0.0045092457841359	-0.00535559672782785
ENSG00000019102	-0.00781547871360071	0.00565613687277966
ENSG00000019186	0.0125203181485176	-0.000205134762662716
ENSG00000019505	-0.00799029865921906	0.00872697088039669
ENSG00000019582	-0.0331669174549842	0.00907091175842633
ENSG00000019991	-0.0114524957415756	-0.00558622291687996
ENSG00000021300	-0.00841758296848722	0.00220633989748535
ENSG00000021488	-0.0110376769362696	0.000928327724639009
ENSG00000022267	0.00929989794812299	0.00138013641892997
ENSG00000022556	0.0104450908528802	-0.0138418015755665
ENSG00000024526	0.00925290464471376	-0.00179889219385833
ENSG00000025708	-0.00614904372069366	0.0254056187273709
ENSG00000026751	-0.00523088847414923	0.0242754171797343
ENSG00000027644	-0.00752753463489613	-0.000515624719402109
ENSG00000027869	-0.00900607584934432	-0.00123681781146483
ENSG00000033867	0.00701713561824073	0.000266665649874342
ENSG00000035499	0.00692789339861698	0.00022313566796781
ENSG00000035664	-0.00740196452208469	0.00270173157176501
ENSG00000035720	-0.00799971293686005	-0.000745940740538775
ENSG00000036530	-0.00633681866736983	-0.00940314471653139
ENSG00000036672	-0.0032897383800184	-2.65936477900105e-05
ENSG00000037280	-0.0182578410500828	-0.00259347635600312
ENSG00000038427	-0.00682836201154632	-0.0254234391347277
ENSG00000038945	-0.0188615908300537	-0.00288796944580984
ENSG00000039139	-0.00906209460664436	0.00504807078592782
ENSG00000039319	0.0077743251109688	0.000636002551816406
ENSG00000039987	-0.00711381764891487	-0.00031382457379707
ENSG00000041982	-0.00828797931456818	-0.026135401645957
ENSG00000042062	-0.00625861522566341	0.000103320429627421
ENSG00000042304	-0.0134549501559265	-0.000250753879992098
ENSG00000042493	-0.00604307743404279	0.000208454033531224
ENSG00000042781	0.012425422918763	-0.000251422132605478
ENSG00000042813	-0.00584714943826822	0.00346012902928996
ENSG00000042832	-0.0156829499956779	0.00497470009532314
ENSG00000042980	-0.0144628052859322	-0.0133667849304353
ENSG00000043039	-0.0171774177902261	-0.0146909007322762
ENSG00000043355	-0.00667824218288598	-0.000101362442811249
ENSG00000043462	-0.0143267741332289	-0.000676006435538731
ENSG00000043591	-0.0050011262600531	0.00229474337661324
ENSG00000044524	-0.00980177833207084	-0.0110932599125362
ENSG00000047597	-0.00704314730082681	-0.0129037795725118
ENSG00000047936	-0.00582736828416313	0.000313671221437611
ENSG00000048540	0.00192429081457047	0.0127740173784116
ENSG00000048545	0.010807672233135	0.0021155886255472
ENSG00000049089	-0.0088957774544685	-0.00118301718712461
ENSG00000049249	-0.0111133344826247	0.00404753051402697
ENSG00000049283	-0.0180575556656994	0.00381643058693367
ENSG00000049540	-0.0158289386788998	-0.00140872236046051
ENSG00000049768	-0.00669374847743602	-0.000108926001002049
ENSG00000050555	-0.0132689713005008	0.0250888138917391
ENSG00000050628	-0.0135743500832339	0.00600321906788773
ENSG00000050730	-0.00868875230264218	-0.00423814235144483
ENSG00000050767	-0.0115131432975911	0.00700862093331569
ENSG00000052344	-0.0196596101406957	-0.00327722204732248
ENSG00000052850	-0.00438803435585511	0.0120621128928386
ENSG00000053108	-0.0084734725493585	0.00217907844596221
ENSG00000053747	-0.0111275646190769	0.000884482902953482
ENSG00000053918	-0.00813082460391402	0.0244389587053208
ENSG00000054179	0.00131675396681291	0.000247764258254149
ENSG00000054598	-0.0109065930031296	0.00099226698188603
ENSG00000055118	-0.0119226952379716	0.000496639328468877
ENSG00000055955	-0.00765264426234702	-0.000576649869182461
ENSG00000056586	0.00665380798584922	8.94440911678759e-05
ENSG00000057019	0.00835848229459711	-0.0274840198657771
ENSG00000057294	-0.0120033300223628	0.0067695208823522
ENSG00000057593	-0.000980842005013408	-8.39153347180894e-05
ENSG00000057657	-0.00734521152390772	-0.000426692353578746
