	PC1	PC2
ENSG00000008517	-0.0466463484611743	-0.9446860374344
ENSG00000010282	-0.0469575594698628	0.0012584973841798
ENSG00000011465	-0.0683696303287533	0.0255739389269146
ENSG00000011600	-0.0857315238409488	0.00990337512233222
ENSG00000012171	-0.0309466611390945	0.0011624648908922
ENSG00000019582	-0.0871447701354271	0.00862780191289768
ENSG00000021300	-0.0221168679266113	-0.00177831425765022
ENSG00000034971	-0.0236402596398713	0.000483499546022264
ENSG00000042493	-0.0158779480973776	0.0038528337036598
ENSG00000043462	-0.0376430351212754	-0.00488157377766667
ENSG00000046774	-0.0536067663147949	0.00253063597682157
ENSG00000057019	0.0219615832322169	-0.027456263060841
ENSG00000057149	-0.0541114748054146	0.00207509426995561
ENSG00000064205	-0.0447352698651042	-0.00400930498908703
ENSG00000065618	-0.0568359662883945	-0.000383987603175854
ENSG00000066230	-0.0225674097642604	0.00145183646253945
ENSG00000069431	-0.0356021819594002	0.0333284920588068
ENSG00000069535	-0.0338977921637561	0.0057724268064928
ENSG00000071242	0.0316982640782735	-0.0368521050910532
ENSG00000073282	-0.0652863101551374	-0.000737526106252583
ENSG00000073756	0.0361814063966801	-0.032805693465716
ENSG00000074181	-0.0202916696065136	0.00350588265972248
ENSG00000079482	-0.0244788472390774	-0.000273396035088159
ENSG00000081277	-0.0166036276792109	-0.0295333752829196
ENSG00000081479	-0.0451031179802889	-0.00434131873835628
ENSG00000084636	-0.0280482662884716	-0.0289527132264753
ENSG00000085831	-0.0266009341979246	0.0305424650084548
ENSG00000088882	-0.0649570015778557	0.0141069124150301
ENSG00000089356	-0.0132704873783396	0.0280271004070893
ENSG00000090382	-0.0688701865488588	-0.00397227487694965
ENSG00000091513	-0.0210884907176264	0.00278668483410736
ENSG00000091651	-0.0172744202161537	0.00259240059345611
ENSG00000092295	-0.0359937743196503	-0.0106665826650189
ENSG00000095752	0.0232070150832823	-0.015421748998364
ENSG00000096696	-0.0198713470197091	0.0329796788860319
ENSG00000099953	-0.0214876676054496	-0.0266680256268823
ENSG00000100342	-0.0682518156030791	-0.00341414327949829
ENSG00000100985	-0.0719341303415439	-0.0067377409053641
ENSG00000101825	-0.0767854414614334	0.00343075420831892
ENSG00000102313	-0.0593861620623714	-0.00995935796039414
ENSG00000104332	-0.0185048307589648	0.0014818519713598
ENSG00000105088	-0.0341522418773288	0.034637184486448
ENSG00000105141	-0.0628851030868319	0.00142976449171503
ENSG00000105357	-0.0229395573990667	0.00475274452015279
ENSG00000105427	-0.0238346785651813	0.00030802017381278
ENSG00000105664	-0.0730972089630822	0.00675969310838466
ENSG00000105855	0.0363018769140067	0.032765485976944
ENSG00000106278	-0.0176746510127627	0.00223115876056421
ENSG00000106333	-0.0305259739588668	-0.0275522495448684
ENSG00000106565	-0.0700092045678506	-0.00500033408769424
ENSG00000107165	0.0493835017981007	-0.0281633010104258
ENSG00000107317	-0.0396397319862941	0.0151370548822146
ENSG00000107562	-0.0651755537573035	-0.0151847691104756
ENSG00000108821	-0.0499933623045374	-0.0233023839732655
ENSG00000108932	0.0530230079675706	-0.00305752680357444
ENSG00000109846	-0.0129934787681617	0.0300955251326459
ENSG00000110446	-0.025103010947855	-0.0262943734720298
ENSG00000110492	-0.0229358686500158	0.0302136913107416
ENSG00000110799	-0.0426519797129124	-0.0239497759508612
ENSG00000111341	-0.0908699293808803	0.00526553352914678
ENSG00000111348	-0.044258500794027	0.0109682289848923
ENSG00000113721	-0.0431562328897862	0.00468951317017685
ENSG00000114631	-0.0233181682761034	-0.028320205876327
ENSG00000115457	-0.0461019961353759	-0.00524288997834223
ENSG00000115461	-0.0496349909779921	-0.0157053188526156
ENSG00000115884	-0.0147291219905138	0.00125294305198043
ENSG00000116132	-0.0495024459267332	-0.0155856858367078
ENSG00000118898	-0.0330062436063308	-0.00069648087680036
ENSG00000120708	-0.0294910758610481	-0.00116054990267395
ENSG00000120885	-0.0383031246176178	0.00906985007157191
ENSG00000121552	-0.074027624768123	0.00591991487639389
ENSG00000121742	-0.0630115702829827	0.00131561724936062
ENSG00000122133	0.0213068166773214	0.00104717512365759
ENSG00000122176	-0.0472507753559474	0.000993845475781686
ENSG00000122861	-0.0425243841198662	0.0125334146006167
ENSG00000123243	-0.0260507427558588	-0.0162393733968489
ENSG00000124102	-0.0458922390301343	-0.00505356661341984
ENSG00000124107	-0.063491180068994	0.000882729226650879
ENSG00000124466	-0.0163869952669844	-0.0257010438936627
ENSG00000124785	-0.0447660508888707	0.0177837274593639
ENSG00000125398	-0.0509612340069868	-0.016902364324162
ENSG00000125810	-0.0523983368502998	0.00362134483374468
ENSG00000125851	-0.0606315637872893	0.0034637725539584
ENSG00000126562	-0.0290548211801925	0.0319644288572473
ENSG00000127824	-0.016320128137964	-0.00018307332086441
ENSG00000127951	-0.0587736133839803	-0.0166800864144348
ENSG00000128422	-0.0562022061422602	0.000188034037195498
ENSG00000128567	-0.0475580366613817	0.000716516399428027
ENSG00000129009	-0.0767626189351453	0.00345135345079952
ENSG00000129244	-0.0213508697910962	-0.030181356619541
ENSG00000129451	-0.0596113139355944	-0.0174361813607597
ENSG00000129538	-0.101175650665335	-0.00403624353951496
ENSG00000129946	-0.0353759990309166	0.00443822123657963
ENSG00000130203	-0.0285848195548129	-0.000342577642897826
ENSG00000130208	-0.0240003339189497	0.00379530481891556
ENSG00000130300	-0.0960775930637305	0.0151123905927588
ENSG00000130303	-0.0367038706916003	0.0032397057884562
ENSG00000130592	-0.0860973165684208	-0.00497399340183361
ENSG00000130600	-0.0726081190998818	0.00720113769517894
ENSG00000130635	-0.0452080155908063	0.00283760734510723
ENSG00000132182	-0.0387845547205523	0.00136171409302474
ENSG00000132274	-0.0305552000726668	0.00151579130740068
ENSG00000132470	-0.0462737076344746	-0.0126714789628091
ENSG00000132561	-0.033651527900014	-0.0158261139605937
ENSG00000132570	-0.0295526896159419	-0.0266737788650953
ENSG00000132698	-0.0433831659951762	0.0190318969603352
ENSG00000132746	-0.0441749340795001	0.0110436549475625
ENSG00000133048	-0.0724743035548742	-0.00722529249638564
ENSG00000133110	-0.102345140334739	0.0240026139008421
ENSG00000133710	-0.044217855576158	0.011004914700049
ENSG00000134755	-0.0703428128798292	0.00924576638923909
ENSG00000134757	-0.0484949777309537	-0.00740275639788637
ENSG00000134760	-0.0571823373377751	0.00657698846647379
ENSG00000134762	-0.0532024377436595	0.0101691813618864
ENSG00000134827	-0.0164992481015218	0.0142024658364923
ENSG00000134986	-0.0402324943049895	-0.0290395925869552
ENSG00000135318	0.0258319328879923	0.0269522866059548
ENSG00000136379	0.0241847553213477	-0.0327232689180103
ENSG00000136689	-0.05545486542906	0.000862571657285147
ENSG00000137558	-0.00399773234313365	2.85140378681743e-05
ENSG00000137573	-0.0462001645662318	0.0237629246554847
ENSG00000137642	-0.0594775572217608	-0.0100418497505688
ENSG00000137699	-0.0627027846054237	0.0161415321338445
ENSG00000137857	-0.0264506084550991	-0.012963483215134
ENSG00000137975	-0.0484331078521785	-7.33086803825835e-05
ENSG00000138061	0.0411071638284712	0.0298290551283546
ENSG00000138131	-0.0256845222270056	0.00227518373754948
ENSG00000138678	0.0251977229121386	-0.00271456091252709
ENSG00000138755	-0.0773133973121349	-0.0115929801236738
ENSG00000139219	-0.0225839791911129	0.01598409110085
ENSG00000139239	-0.0316888666137262	0.0368605870903055
ENSG00000139329	-0.0738165480608257	0.00611042929275293
ENSG00000140519	-0.0346294629139749	-0.00216157232615179
ENSG00000141161	-0.0239171062477024	0.000233622282977624
ENSG00000141337	0.0334468100883492	0.0301885489149591
ENSG00000141639	-0.0386783781031784	0.016004757322249
ENSG00000142156	-0.0206580971388641	0.032269570974598
ENSG00000142173	-0.0193725306214535	-0.0283957397360361
ENSG00000142552	-0.0177052465898089	-0.00143325879523639
ENSG00000142949	-0.0240703905831871	0.00373207280876081
ENSG00000143127	-0.0415673804177743	-0.0156972292313574
ENSG00000143226	-0.0294295364466781	-0.00110500542426191
ENSG00000143248	-0.047496886192683	0.00077170982177853
ENSG00000143320	-0.0481283255838569	0.0147489927917827
ENSG00000143520	-0.00974873523038565	0.000292955729117898
ENSG00000143546	-0.0835073791114484	0.011910852121876
ENSG00000143556	-0.0682345858958704	0.011148617909637
ENSG00000145358	0.0533309288619981	-0.0173268123274283
ENSG00000145423	-0.0815812505963263	0.0136493445144739
ENSG00000145824	-0.0759322182731269	0.00420085963504067
ENSG00000146072	-0.0255684308472277	-0.0303512564165862
ENSG00000146674	-0.0293583604361272	0.0316904592424711
ENSG00000149131	-0.028365479381558	-0.00014460475604165
ENSG00000149418	-0.0383765276383599	0.0090035976942503
ENSG00000149591	-0.0450428893662932	0.0320810674692412
ENSG00000150477	-0.0223542751603276	0.00164420830306176
ENSG00000151012	0.0404769955317822	0.0219866704658277
ENSG00000152207	0.0643210682009093	0.0144135242907695
ENSG00000152583	-0.0496743467100735	0.00607997420302892
ENSG00000152661	-0.0309862534170032	-0.0134204803922616
ENSG00000153823	-0.0546325742388487	0.0379727832000215
ENSG00000153902	-0.0330991459297126	-0.0298747528778705
ENSG00000154864	-0.0659172830248989	-0.00130703199612639
ENSG00000155066	-0.0408110614498091	0.0140798318851202
ENSG00000156194	-0.0862766110043766	0.00941138827956338
ENSG00000156219	-0.0311034869444051	-0.0280735034093444
ENSG00000156298	-0.0139061426746265	0.000177349607618287
ENSG00000158887	-0.0332370056844821	-0.000904762989970094
ENSG00000159166	-0.0545970581626812	0.0161840245331552
ENSG00000159167	0.0301304260529554	-0.0309936053249343
ENSG00000159189	-0.0955078279838214	0.0010794413885908
ENSG00000159403	-0.0228528630679225	0.0302886108043681
ENSG00000159516	-0.0475010690837386	0.00804153937935197
ENSG00000160255	-0.050894876378054	0.0340727637675684
ENSG00000160678	-0.0146468990221703	0.00314555741293372
ENSG00000161249	-0.0263883523591338	-0.023817699322435
ENSG00000161570	-0.0602117881446672	0.00384265524821627
ENSG00000162511	-0.0615126092740892	0.00266855517136476
ENSG00000162576	-0.0326244994093375	-0.000351924749220723
ENSG00000162645	-0.030125246647893	0.00190386030293873
ENSG00000162654	-0.0350055178702931	0.00477261153000406
ENSG00000162892	0.0511055419202047	-0.0047882005931159
ENSG00000163046	-0.0408884279520387	-0.000537207800926575
ENSG00000163202	-0.0375098490141675	0.00251224281213809
ENSG00000163207	-0.054176450852706	-0.0125307619922014
ENSG00000163216	-0.0356391390074453	0.0114743203241613
ENSG00000163220	-0.0947345914522372	0.0163245620893632
ENSG00000163359	-0.0476635502308235	-0.0211995333407481
ENSG00000163520	-0.0377334448665231	-0.0195103860835483
ENSG00000163873	-0.050805460761287	0.0196062589200958
ENSG00000164106	-0.0260440856063085	0.00195064765666642
ENSG00000164125	-0.0285021214132007	0.00336886684356784
ENSG00000164692	-0.0166945026956977	0.00311582475219301
ENSG00000164929	-0.0154008308500213	0.000646669517724401
ENSG00000164932	-0.0302394233033519	0.0308952261725877
ENSG00000165092	-0.0283192999437249	-0.000102923943605186
ENSG00000165105	-0.0311453747294408	0.00098310922359867
ENSG00000165272	-0.0324356109658334	-0.000181437100290035
ENSG00000165379	0.0411471458687075	-0.0210500925007896
ENSG00000165474	-0.0319779550212668	0.0293260556098988
ENSG00000165949	-0.058752173662944	0.00516007963224842
ENSG00000165973	-0.0403277646546506	0.0217896527098265
ENSG00000166278	-0.0211360023561453	-0.00089300088472184
ENSG00000166535	-0.0370582160673735	0.0101934843602957
ENSG00000166741	-0.0535923863164559	0.0316380349994459
ENSG00000167244	-0.0648865267995116	-0.0149238980608899
ENSG00000167642	-0.0436135499104109	0.0042767462363406
ENSG00000167656	-0.0570334448706326	-0.000562228572159243
ENSG00000167754	-0.0540246671663881	0.00215344543857291
ENSG00000167755	-0.045227225350753	0.00282026892699606
ENSG00000167767	-0.0397282569984827	0.0223307586076777
ENSG00000167768	-0.0604496303482691	0.0036279827285197
ENSG00000167880	-0.0389688058781017	-0.00607819298400507
ENSG00000167920	-0.0181080467749908	0.00183998276700904
ENSG00000167972	-0.0345348398507384	0.0124710428522868
