	PC1	PC2
ENSG00000000971	-0.0164061967005135	0.958118096174511
ENSG00000001617	-0.00721766326695067	-0.00166122319787835
ENSG00000002746	-0.000358873534848945	-0.000124635104176486
ENSG00000002822	-0.00541449955829982	0.00722023622790324
ENSG00000002933	-0.0105374679393045	-0.00276428685646839
ENSG00000003137	-0.0113626952966741	-0.0019863840188816
ENSG00000003147	-0.00894740639301716	-3.06760837445763e-05
ENSG00000003400	-0.0150935559561344	-0.00270196462092778
ENSG00000003436	-0.00642226397800419	0.0018214781368439
ENSG00000004534	-0.0105866197313608	-0.000601710453736528
ENSG00000004846	0.0129187432008165	-0.00794540213986949
ENSG00000004866	-0.00576149521852811	-0.00832449233979848
ENSG00000005379	-0.0134330289318406	-0.00426726498639921
ENSG00000005844	-0.0245339042061346	0.0019645189538661
ENSG00000006125	0.00790834214433362	0.00101015285492468
ENSG00000006534	-0.00663127674314556	-0.00644646872854545
ENSG00000006555	-0.000455606701322719	-9.95819228960877e-05
ENSG00000006634	0.00786390364837294	0.00105204292533642
ENSG00000006740	-0.0152728342527745	-0.00253296744163096
ENSG00000006837	0.0104438591099797	0.000736284146036244
ENSG00000007174	-0.0174541033570748	-0.0047092747841256
ENSG00000007237	-0.00497688490696294	-0.000599134084290254
ENSG00000007312	0.011531313431734	0.00182743567021107
ENSG00000007350	-0.00424433849374129	-0.00128967097502725
ENSG00000008128	-0.0105843998377461	0.00574492694982928
ENSG00000008517	-0.0176866132813554	-0.000257612003069699
ENSG00000008735	-0.00293714662335034	-0.000405655655296366
ENSG00000010282	-0.0101241599986844	-0.00103764939238881
ENSG00000010310	-0.0060324192982115	-0.000662253353330212
ENSG00000010327	-0.0197404352955355	-0.00678654435710328
ENSG00000010671	-0.010545746263829	-0.00275648327109214
ENSG00000010932	-0.00299380603504727	-0.000352245505061494
ENSG00000011105	-0.00895837075626498	-0.00425282715817037
ENSG00000011275	-0.0101833060117055	0.00325059142101232
ENSG00000011465	-0.0237677849010884	-0.00722263883884711
ENSG00000011600	-0.0158390639558415	-0.0062316961166398
ENSG00000012171	-0.00904515428784045	0.00217770956888735
ENSG00000012174	0.0070321465863633	0.00606858766854762
ENSG00000012223	-0.0183811135421288	-0.00383542608414559
ENSG00000012779	-0.00260597323985061	-0.000188776323194924
ENSG00000013573	-0.00644243574392347	-0.000275750223340403
ENSG00000013725	-0.0140517292041991	-0.00368404547339436
ENSG00000015133	-0.0175432141260854	-0.0088577609342766
ENSG00000015285	-0.0223068781975325	-0.00436727989848005
ENSG00000015568	-0.00486643689442372	-0.000703248207013883
ENSG00000015676	-0.00656156587057978	-0.00227969521266597
ENSG00000017373	-0.00728700712865906	-0.00159585601596128
ENSG00000017427	-0.0116435211045649	-0.00172166279887487
ENSG00000017483	-0.0035172622125299	0.000141191900011927
ENSG00000018280	-0.0139060036176299	0.00041107256330896
ENSG00000018610	-0.00612835253114184	-0.00480430828910731
ENSG00000019169	-0.000482228954188026	-7.44863830282797e-05
ENSG00000019549	0.0100417273417872	0.0011153547630815
ENSG00000019582	-0.0336765155209851	-0.0021146333351396
ENSG00000020426	-0.00825060583323006	-0.00280376037824489
ENSG00000021300	-0.00732448783572721	-0.00156052472438121
ENSG00000021645	-0.00874996157454296	-0.000216797984801584
ENSG00000022267	0.0108888399676259	-0.00179942161380173
ENSG00000023516	0.00909606173876166	0.0041230323749052
ENSG00000023697	-0.00640573581518907	-0.00242658884287247
ENSG00000024526	0.0116806717040056	0.00380288601495278
ENSG00000026036	-0.00599259865067367	-0.000699790396228259
ENSG00000026751	-0.00507170035371421	-0.000509756042692155
ENSG00000032389	-0.00676934082149373	0.00638113773932159
ENSG00000033170	-0.00728493718475469	-0.00159780725427454
ENSG00000033867	0.00932317719681332	-0.00243978862852188
ENSG00000034971	0.00122885040044427	-0.000100257543602677
ENSG00000035499	0.00998601470743338	0.00328411576184578
ENSG00000035664	-0.0133316441635003	-0.00436283561705714
ENSG00000038427	-0.00585627368763258	-0.000828297497497409
ENSG00000039319	0.00864645505440083	0.000314368690629787
ENSG00000042493	-0.00380435282228256	-0.00911127633585829
ENSG00000042832	-0.0160779509637319	-0.00177402196018371
ENSG00000043039	-0.00614585103500548	-0.00161344828013099
ENSG00000043462	-0.0146002889427502	-0.00316694412745143
ENSG00000046774	-0.004872920063778	-0.000697136829595024
ENSG00000047579	-0.00892918069707947	-4.78565861362032e-05
ENSG00000048471	-0.00659981511938989	-0.00224363945309956
ENSG00000049089	-0.00925046751735823	-0.00186123801233983
ENSG00000049283	0.000347275207967119	0.000135568298904046
ENSG00000049323	-0.00683021461770044	8.97905983173027e-05
ENSG00000049540	-0.00576410340678718	-0.00197330373157844
ENSG00000049769	-0.0049355805543403	-0.000638069745866297
ENSG00000050555	-0.0169955615454569	-0.00090903382212829
ENSG00000050628	-0.0230477730940961	-0.0079013599485551
ENSG00000052795	0.00886977670526487	0.000103853922365885
ENSG00000052802	0.00740115127469861	-0.00697671560035089
ENSG00000053108	-0.0110652060363576	-0.0022668130881377
ENSG00000053524	-0.00722659966505039	-0.00376904260843219
ENSG00000053747	-0.0158295799916536	-0.00200814953996943
ENSG00000053918	-0.0270181298912272	-0.00839117885787324
ENSG00000054598	-0.00853623708262971	-0.00253450929558607
ENSG00000054611	-0.00888476655725687	-0.00220596702796266
ENSG00000055955	-0.0108798320966048	-0.00455779967297141
ENSG00000056558	0.00706725860943412	-0.00242948409973013
ENSG00000056586	0.00797108468067136	-0.00328147823107039
ENSG00000057019	0.00770196200855827	0.00120469765740544
ENSG00000057252	0.0102871026665384	0.00934902436166703
ENSG00000058056	0.00848748685826315	0.000464220497840488
ENSG00000058063	0.00845386729471193	0.00896088539504821
ENSG00000058091	0.0136626012434091	0.00405085801563449
ENSG00000058453	-0.00889809357590377	0.00203908238440123
ENSG00000058804	0.00819392370855972	0.000740948608131337
ENSG00000058866	-0.00133722393374513	-6.21142635814217e-05
ENSG00000059377	-0.0111010686353598	-0.00434925044137062
ENSG00000060749	0.00815156249794498	0.000780880519799725
ENSG00000061676	0.00685323681548804	0.0104697241176094
ENSG00000061918	0.00966629429302062	0.00146925775884535
ENSG00000062282	-0.00939740511505763	-0.00172272688182801
ENSG00000063127	-0.0161716633429446	-0.00591817038982454
ENSG00000063438	0.010886655792879	0.000318880635324644
ENSG00000064042	-0.0117652205407633	0.000509300840094905
ENSG00000064205	-0.0237267101242753	-0.0030288714285645
ENSG00000064419	0.0069721890917537	0.006125106765709
ENSG00000064652	-0.00678050138888815	0.00639165827886463
ENSG00000064692	-0.000441616085436897	-0.000112770215431442
ENSG00000064726	0.00749909024769567	-0.00283655138096295
ENSG00000064886	-0.0132684711065342	-0.000189899211325314
ENSG00000064961	0.00847721118774399	-0.00799106643627022
ENSG00000064989	-0.0198728027157322	-0.00242928118288804
ENSG00000065154	0.00945707629649245	0.0101314510017492
ENSG00000065320	-0.0106803977025134	-0.00474579705295476
ENSG00000065328	0.00773911759245615	0.00328591617487109
ENSG00000065613	0.00832405862208747	0.00696700656644275
ENSG00000065618	-0.0224934692880553	-0.00419138929392136
ENSG00000065717	-0.00575250036217825	-0.00304236303888206
ENSG00000066032	-0.0159039312416616	-0.00193806212970261
ENSG00000066230	-0.0155415190665751	-0.0065121776246784
ENSG00000066248	-0.0169254846086835	-0.000975092039271275
ENSG00000066279	0.0106663880437396	-0.00158972669606493
ENSG00000066336	-0.0208862338994041	-0.00570645415251596
ENSG00000066382	-0.00528283941008708	-0.00136884689602197
ENSG00000066697	0.00752480716589879	0.00560417981855902
ENSG00000066923	-0.0114300475933121	-0.00192289419125436
ENSG00000067048	0.0106969687960148	0.00473017626609945
ENSG00000067064	0.00875625902374642	0.00232710500778884
ENSG00000067113	-0.00742119186166728	-0.00781809640080346
ENSG00000067606	-0.0110807941610297	-0.00225211889955219
ENSG00000067715	-0.0088728067888619	-0.000100997605731195
ENSG00000067798	-0.00555753622922075	-0.00322614651491551
ENSG00000068078	-0.00993047495632375	-0.001220227130154
ENSG00000068366	0.00803385288439016	-0.00122440352010702
ENSG00000068781	0.136086461520314	-0.0267025972766055
ENSG00000068784	-0.00658741299328944	-0.00860406034375657
ENSG00000068796	0.00919631468499035	0.00191228532867773
ENSG00000068985	-0.000344039474967785	-7.24858674259466e-05
ENSG00000069020	-0.0088496226799176	-0.00435533883136837
ENSG00000069188	-0.0101105466339999	-0.00316672539883718
ENSG00000069424	0.0108863824207891	-0.00814583499290419
ENSG00000069431	-0.0132334741337714	-0.00445537586552332
ENSG00000069535	-0.0130245223896407	-0.000419858140101002
ENSG00000069812	-0.00783251178287499	-0.00108163455366759
ENSG00000070159	0.00860843254950199	0.00458269737101528
ENSG00000070366	-0.00807690873533179	-0.00085125309440563
ENSG00000070367	0.00997508147790479	0.00964315199311023
ENSG00000070388	-0.00867911947047306	-0.000283577489000582
ENSG00000070601	-0.0251734975580719	0.00256743338578648
ENSG00000071073	-0.00543667732311186	-0.000165709498896971
ENSG00000071242	0.0131641847990848	-0.00394428167578767
ENSG00000072080	-0.0167836738861514	-0.00534125696839953
ENSG00000072364	0.00993521278815486	-0.00301672566163994
ENSG00000072401	0.00694796545941559	0.00191545457775074
ENSG00000072501	0.00743950019085143	0.00568459467315958
ENSG00000072571	0.0111245852311178	9.45957961242074e-05
ENSG00000072694	-0.0104938842149469	-0.00280537117407807
ENSG00000072818	-0.0123761938662649	-0.00314725013619259
ENSG00000072858	-0.00624569244108953	-0.000461210838750126
ENSG00000073111	0.00745029927123249	-0.00279055843283734
ENSG00000073282	-0.00727412754383642	-0.00160799699200987
ENSG00000073605	-0.0160048243614512	-0.00607544161449344
ENSG00000073756	0.0143360520193172	0.00341602778990885
ENSG00000074181	-0.0066613358507225	0.00204683989504778
ENSG00000074370	-0.00582369406180785	-0.000859008771366657
ENSG00000074416	-0.0117369493110795	-0.00374983577389566
ENSG00000074527	-0.0110807742501393	0.00198034899298272
ENSG00000074657	-0.0059578368325701	-0.00919753204283065
ENSG00000074966	-0.0180934193617823	-0.00410662179433402
ENSG00000075213	-0.00284966363830642	-0.00101718256440247
ENSG00000075340	-0.012684802562556	-0.00497258263083476
ENSG00000075826	-0.00679343333727731	5.511862318741e-05
ENSG00000075884	-0.0189076062750063	-0.00333912626177948
ENSG00000076344	-0.00589668343999322	-0.00184832679871589
ENSG00000076356	-0.0092160972562982	-0.00189363723343742
ENSG00000076382	0.00804034510067085	-0.00123052342563593
ENSG00000076554	-0.00765970608672124	-0.001244530318318
ENSG00000076641	0.00877255273465355	0.0107767190195798
ENSG00000076716	-0.00245951214223177	-0.00191402077769199
ENSG00000077420	-0.00370815080947599	-0.000736988104580082
ENSG00000077942	0.00820575799257666	0.00919476631094258
ENSG00000077984	-0.00598832658919387	-0.000703817466729257
ENSG00000078098	0.00806103205381784	0.00298246262268679
ENSG00000078114	-0.0151634244090245	0.00159638372989982
ENSG00000078295	-0.00646276084531483	-0.000256590710625046
ENSG00000078319	-0.00598659472013605	-0.00493793667944932
ENSG00000078399	0.0122267346871599	0.00540438157314536
ENSG00000078487	-0.00807028866538855	-0.000857493521541106
ENSG00000078795	-0.0225320695923096	7.74840506153311e-05
ENSG00000079215	-0.00398429451417306	-0.000476680482023459
ENSG00000079337	-0.0141216107157597	-0.00361817147436555
ENSG00000079691	-0.00550491694407216	-0.00433386989414791
ENSG00000080345	0.00771042142068626	0.0054292100308923
ENSG00000080709	-0.00964852304248696	0.000630233453768006
ENSG00000080839	0.00725211044831976	0.00162875146763998
ENSG00000080947	-0.0138516473043367	0.000359833435117277
ENSG00000081041	0.00881187776522823	-0.00195781081339669
ENSG00000081277	-0.00755976237254234	-0.00133874253530816
ENSG00000081479	-0.0216492077841235	-0.00498723472210395
ENSG00000081665	-0.007582644342207	-0.00131717278368426
ENSG00000081803	-0.00636305090862628	-0.00246682588741637
ENSG00000082068	-0.00965858821606899	-0.0120577385674498
ENSG00000082074	-0.00824459073533463	-0.00069318719602072
ENSG00000082196	-0.0118703021001017	-0.00150788706984288
ENSG00000082293	-0.0030272707453234	-0.001378821569298
ENSG00000082482	-0.0160011591336565	-0.00184640998996204
ENSG00000083123	-0.00719455294265908	0.00889820844535699
ENSG00000083307	-0.00252011823556791	-0.00079876861175993
ENSG00000083312	0.0084676751586611	-0.00798207727223361
ENSG00000084093	0.00738133809220437	-0.000609308657005777
ENSG00000084112	0.00995513707142027	0.00119697931954381
ENSG00000084628	-0.0116903305164653	-0.00379378110882837
ENSG00000084636	-0.012367285098161	0.00107683865064798
ENSG00000084731	0.00762613230527728	-0.00295630792587514
ENSG00000085265	-0.000749288837133657	-8.72720663732211e-05
ENSG00000085449	0.007085285890776	0.00178600909553309
ENSG00000085491	0.0080412220629838	0.000884893234223603
ENSG00000085514	-0.0130142737017128	-0.00466200575554799
ENSG00000085662	0.00904885469540289	-6.49544374559866e-05
ENSG00000085831	-0.0101589646480361	-0.00312108402476891
ENSG00000086300	-0.00526732531600323	-0.00879032295725327
ENSG00000086475	0.0075039647333505	-0.00707363298985958
ENSG00000086570	-0.00284756296002851	-0.00154822360725628
ENSG00000086730	-0.0082771509650187	-0.000662494205976804
ENSG00000087258	-0.0237839633382856	-0.00720738819053666
ENSG00000087448	0.00757152711250253	-0.00290483419075582
ENSG00000088002	-0.00918217451699823	-0.00192561459691732
ENSG00000088325	0.00712136955029998	0.0102169680578431
ENSG00000088386	-0.00349611500992232	0.000121257431324543
ENSG00000088726	-0.00543036989923415	-0.000171655209359085
ENSG00000088756	-0.00881286247695461	-0.00227374760697725
ENSG00000088832	0.00729647223008227	-0.00687803961110294
ENSG00000088881	-0.0109525423751664	-0.00237301579815554
ENSG00000088970	-0.00653203456803606	-0.000191289645417015
ENSG00000088992	-0.0142499069235357	-0.00349723270132412
ENSG00000089012	-0.00101521159127781	-0.000101129667309684
ENSG00000089057	0.0069162598889937	-0.00440338807149471
ENSG00000089356	-0.00345663417995974	8.40407183982167e-05
ENSG00000089692	-0.0187876417588356	-0.00345221114281927
ENSG00000089820	-0.00658837520497587	-0.00225442331987876
ENSG00000090382	-0.030462467048056	-0.00514436496595016
ENSG00000090530	-0.00723961569733464	-0.00375677300980871
ENSG00000090889	0.00823874234201103	0.000698700200068786
ENSG00000091428	-0.0070182428295979	-0.00184920742150375
ENSG00000091513	-0.0105113305339232	-0.00278892535352214
ENSG00000091592	-0.00616484208297185	-0.00159554631654501
ENSG00000091831	-0.0057460854648717	0.000125954936725496
ENSG00000092295	-0.0189809070065616	-0.00327002912562077
ENSG00000092929	-0.0105131390929627	-0.000670977179575262
ENSG00000092969	-0.0115092366890896	-0.00184824637237017
ENSG00000094755	-0.0126013207025845	-0.00505127703569043
ENSG00000094804	0.00761361865108775	0.00128797476624646
ENSG00000095370	-0.0114491203609183	-0.00190491519442525
ENSG00000095564	0.0074360872249566	-0.00277716140833592
ENSG00000095585	-0.00207641434832264	-0.000687966468444072
ENSG00000095713	-0.0201872415744625	-0.00636536118967074
ENSG00000095752	0.00915455716926739	0.00195164816569637
ENSG00000095970	-0.00570214973841406	-0.000973582862029343
ENSG00000096696	-0.00754847072169936	-0.00134938664102442
ENSG00000096996	-0.00803161471744425	-0.000893949624914177
ENSG00000099139	-0.00988694860814014	-0.00126125736195551
ENSG00000099194	0.00868412191135451	0.0108600785783246
ENSG00000099204	-0.00575621361893586	-0.00198074106179138
ENSG00000099256	-0.00758559893607475	-0.00131438762765046
ENSG00000099260	-0.0129529894895386	-0.00471977548666976
ENSG00000099282	-0.00778189908087668	-0.00112934475637816
ENSG00000099338	-0.0144238492000883	-0.00333326553603542
ENSG00000099399	-0.00125301175917324	-0.000406027517852776
ENSG00000099953	-0.0065028338692871	-0.00233505909518237
ENSG00000099998	-0.0250387250631131	-0.00179209693876653
ENSG00000100024	-0.00510138823527306	-0.000481770679506688
ENSG00000100033	-0.00979167816549511	-0.00346730763747923
ENSG00000100167	-0.00319239396604482	-0.000165046045841085
ENSG00000100181	-0.0194393551538828	-0.0070703583805249
ENSG00000100234	0.00751801376177405	0.00984307030122783
ENSG00000100311	-0.0148879710602714	-0.00289575978831849
ENSG00000100336	-0.0192310462623753	-0.00303423466830954
ENSG00000100342	-0.028297549830834	-0.00718513013372817
ENSG00000100351	-0.0140437315319183	0.000540902160429197
ENSG00000100364	0.00843383376622242	0.00897977005576587
ENSG00000100385	-0.0106647733445512	-0.000528038735360285
ENSG00000100399	-0.00874500898771273	-0.00233770988519069
ENSG00000100426	0.00811091468310995	0.00505168395581548
ENSG00000100453	-0.00932127908444989	-0.00179448729390734
ENSG00000100485	0.0073559952996507	0.00153082412687634
ENSG00000100490	-0.00800690886334157	-0.00303348199701406
ENSG00000100505	-0.00552269993281661	-0.00114274171471644
ENSG00000100526	0.00833005633445841	-0.00150362051679691
ENSG00000100580	0.00770242588917862	-0.00302822628252741
ENSG00000100626	-0.0145318264220629	-0.00323148051083152
ENSG00000100744	0.0076515196926397	-0.00298023941638109
ENSG00000100890	-0.00645532363866948	-0.010844818067896
ENSG00000100916	0.00782787993010178	0.00108600078242065
ENSG00000101000	0.00999981388473301	0.0032711079294201
ENSG00000101082	-0.0083268356835374	-0.00273190210024025
ENSG00000101104	-0.00716641630878781	0.00252295537768397
ENSG00000101144	-0.0144162495111443	-0.0075729160653062
ENSG00000101198	-0.00579319355677174	-0.0019458818217051
ENSG00000101210	-0.00238490636217536	-0.000397165623312362
ENSG00000101224	0.00728945472953956	-0.00687142454492003
ENSG00000101276	-0.0144649146122447	-0.00329455511234688
ENSG00000101307	-0.00491436619483958	-0.00277431085097892
ENSG00000101333	-0.0149341142471984	-0.00285226278627984
ENSG00000101336	-0.0132321773880946	-0.00445659824640124
ENSG00000101350	0.00714389772049195	0.00173075849308394
ENSG00000101353	-0.00685051814901572	-0.00200731355285413
ENSG00000101447	0.00968915313660527	0.00144770980708435
ENSG00000101605	-0.0162209963295681	-0.00587166651433086
ENSG00000101752	0.00760200101654531	0.00129892616139339
ENSG00000101938	-0.0114635531132557	-0.00400755345154326
ENSG00000102109	-0.00345843729700911	-0.00203050289915235
ENSG00000102218	0.00783007999051252	-0.00103231644137038
ENSG00000102362	0.0108997226625421	0.00242280644550146
ENSG00000102384	0.00767546024497864	-0.00300280704387373
ENSG00000102445	-0.00604042969470341	-0.00171282399644822
ENSG00000102699	0.00728716241273788	0.0058281962985879
ENSG00000102780	0.00924403202533128	-0.000248938884200276
ENSG00000102878	-0.00511042061665446	-0.00893822960354183
ENSG00000102879	-0.00799028614833347	-0.00516539477581988
ENSG00000102886	-0.0172747826252631	-0.00911079862664411
ENSG00000102962	-0.00500668015733803	-0.00162916917499255
ENSG00000102970	-0.00178075521109205	-0.000437609534442003
ENSG00000103044	-0.00811242269291726	-0.000817775764633466
ENSG00000103056	-0.0217796764312174	-0.0048642480931658
ENSG00000103067	-0.00935734536806082	-0.00387673264328379
ENSG00000103175	0.0176241350364376	0.00878148061562156
