GeneID	031ae513-6f1d-4800-b025-48212d12fff7	0c2c67ce-c9ff-45ad-a11b-3abc15b7439b	0eab9cec-761c-49e3-b493-39088d728205	0fe9e59d-cd97-4838-9723-6834fbc6cf69	109baa71-3dc7-4639-ad35-2cc441f6f79f	15db4186-0e2f-44cb-b00e-2215db4ff872	1c5132c3-593c-4f34-a074-e78a2278fc45	2011712e-72f7-4df1-94c3-ddfe1d8bfc42	216f822e-983b-4a70-9a5b-aab7efeb28c4	287534a8-a426-47ed-9648-bd8f6d210ce3	292eb45c-064b-4441-846d-aae6c3b40029	2d2dac36-f57e-4c44-81f0-888127f96003	344957ba-036f-46d0-aa9c-66f7783bcd4b	36d8d99d-68da-40be-b80d-3b5776a55794	385bdf70-2101-413d-8fe2-56b42c62d7ef	3ad6c8f2-3124-4de5-a969-c01ece20d98d	3c17710e-ae70-4cae-9bc9-ee3ab81fb92a	409e6086-f0fa-497f-99c3-8bda23122e33	4370f569-d58e-4b5e-bc2b-3782b00344a5	4456f588-7065-441c-8f69-9756d8313dd6	44df2aca-d832-4179-adc4-788aff30cfda	4bd2a0ed-0b01-4bbc-8c2d-c689d5a19b62	50390dfb-8b30-4067-b2ef-3bde56eb40d0	551921a0-21c9-4a8f-9c69-51a843d4cd6d	5a8b0a9a-c988-4694-8a93-bcb3e55ad5f0	62f4a7f9-53f3-4e0e-9702-c9b9c91c1a07	6335af06-dfdd-4f94-8042-6702a0d4289a	636b2289-1e60-4942-ae02-f41af8d88173	6c213b3c-8c4e-49d3-9801-5f3819852dc0	6c5930b4-df5c-43f2-9272-d02c231398d9	6da01da1-e473-401e-93e5-644af230f9a2	6ed1f2ad-b2de-4cba-af24-957b91b67c9d	73cb383f-72c4-4992-b021-0f1ba460acea	7a1258bd-8974-48c1-95aa-4e00040047c1	7abff689-6cf5-44ac-95d5-7e3edbd6fc38	7d0485d1-46f4-44ed-9a3f-4d54b47045f5	7e22aea2-4c7b-41ac-9463-8dd5a049e651	8028e648-c40b-4fc8-88d7-7b7d3a6f5a74	8234108b-88ea-426e-ac24-2b3a11145675	83efe603-6d13-45da-9164-44817e5cda0a	85b45171-0531-4473-a69a-7802bbcc36e5	8607db64-fb3c-42ed-898a-f172df773315	86dbb504-1885-485d-9969-7035a7be86d7	8a1f99bf-3928-4035-8fb1-42679703294d	8cb5a30c-5a41-4a51-bf82-29ac62900d81	8def3588-7c98-42a0-b025-b3f6721eac8a	8faf631a-cc55-4113-bd2e-0bba48a4bb49	90e70ca6-b255-441c-88f6-c9f01e9b297e	910180bb-c288-42bc-88e7-e3a78e62eaa1	91fb6de8-534b-4489-b25d-8e88071d7583	938ab2e8-e0cd-40a0-9e69-123160086702	94be52a8-49e9-4fea-a44a-851b5cbb575e	94e4b8d5-24b5-438b-a240-a10cd697d458	9ae7086e-621f-46d8-8fc6-8b97fccd4c8c	9cef79f7-ed4b-4ab9-bf74-6d6e979269cd	9e105fe8-2709-4d8c-ab62-42d7f93a80e8	9f0c6a32-5310-11e4-8c64-30c9fc308db6	9f120780-5310-11e4-8c64-30c9fc308db6	9f2005f6-5310-11e4-8c64-30c9fc308db6	9f2c753e-5310-11e4-8c64-30c9fc308db6	9f39c36a-5310-11e4-8c64-30c9fc308db6	9f3fa2c6-5310-11e4-8c64-30c9fc308db6	9f45aaf4-5310-11e4-8c64-30c9fc308db6	9f4c0e58-5310-11e4-8c64-30c9fc308db6	9f52525e-5310-11e4-8c64-30c9fc308db6	9ff7e084-5310-11e4-8c64-30c9fc308db6	9ffe4de8-5310-11e4-8c64-30c9fc308db6	a022c434-5310-11e4-8c64-30c9fc308db6	a06ee954-5310-11e4-8c64-30c9fc308db6	a0cb8830-5310-11e4-8c64-30c9fc308db6	a0d2d626-5310-11e4-8c64-30c9fc308db6	a0d91432-5310-11e4-8c64-30c9fc308db6	a0df60e4-5310-11e4-8c64-30c9fc308db6	a0e58e60-5310-11e4-8c64-30c9fc308db6	a0f1af9c-5310-11e4-8c64-30c9fc308db6	a10b873c-5310-11e4-8c64-30c9fc308db6	a8ee99be-78f6-4ca3-929e-9ea914984e46	ab3885aa-9b7e-4182-8410-21232293c18a	afb82a9e-8837-4dfa-a94c-bd48d4707582	b7fa7f91-3436-4a4f-863b-06313b8c7ffa	b8ace4f0-9abc-4923-a0bd-3d632f3fc9ca	c564e4c8-74a7-4e25-aa37-8cca65258592	c8449d33-0c1b-4b48-8bc4-cf56d9fefe5d	c87a6d87-223f-49d8-b993-993e49457c46	cbb8519c-6a25-40e3-843d-ba0a3eafa6a5	d2597551-3e89-4e07-9d1a-977c06cd09af	d289e8fc-d70a-422b-83d4-8b2e0ca35e4f	d30a563a-7434-48ce-a376-6f33c8286d36	d62fe3ab-dfca-4f62-b645-9191631f33d1	d659432b-3c13-4e41-a5a4-f244e586b103	da5f19b0-ee02-450b-a67b-af21018c9632	db7aef47-c801-47ae-8aaa-afa7f7c0f727	dc26e18d-eecc-40ec-b6b0-eee4ebed0cdd	e1a5419b-9a22-40ab-89a5-777259a3d80a	e47d3ba2-e4e7-4be4-a8c0-335da3b5b246	e797c956-affd-4fec-b153-a6022a5fa985	e94e4c13-d24e-441b-bf9a-37b8c8f3a7cd	ebe9ae45-c6b5-488e-a4e2-6fb4059f1d84	f6bb4f13-5c93-4d23-95f6-4f06f55d7050	f770d946-e369-4366-a97d-d5af1d76eef6	f8fad44a-2ef1-4da3-8776-a70dea803640	mc_braf	mc_rfp
ENSG00000000971	2918	299	1234	1287	1805	582	2355	587	972	418	897	1011	3162	10568	2980	758	529	5636	1138	3308	5536	279	198	8311	1928	417	4977	723	3260	207	2487	130	813	124	6386	1078	2440	1114	738	459	46	174	353	359	586	794	401	1552	484	1800	794	740	5162	587	206	771	129	530	284	594	978	1030	546	1470	704	53	929	368	491	4744	328	662	735	800	288	427	929	287	1220	759	6002	89	202	619	221	1798	1728	1792	767	1469	1384	3408	839	1249	1722	1656	199	1088	810	357	1227	14	5
ENSG00000002933	515	865	1872	1436	291	276	241	436	731	482	752	387	1829	540	1977	488	468	1444	1410	2033	682	445	623	932	1772	926	777	853	4610	480	693	519	839	658	1893	245	1705	946	2265	877	98	178	471	224	261	784	592	3659	485	1151	629	669	643	257	1011	591	102	1270	197	4672	544	1489	923	1258	571	52	1124	362	384	780	175	280	2232	522	752	1264	387	148	492	444	8570	602	227	4369	1279	1332	546	782	562	269	2003	1302	261	649	1482	1138	811	361	851	377	1014	0	0
ENSG00000008517	302	887	924	1254	200	428	170	590	1479	249	681	693	231	214	3151	201	32	2790	2052	1376	574	764	495	705	2882	1811	1255	632	8631	463	1402	537	1042	450	2052	85	2773	658	4739	4759	257	185	661	93	294	745	1282	1118	613	847	2314	963	2134	932	830	583	207	550	740	273	1277	2407	867	4586	959	699	1531	649	2783	653	426	542	2636	512	655	3678	403	159	1276	617	15895	1441	443	2219	5804	2412	366	2086	832	266	1180	1732	215	165	147	349	1382	359	303	1207	1320	4	12
ENSG00000010282	51	0	772	0	754	8	1	6	0	2	554	1	16	4	38	18356	2	13548	7	1	20258	40	0	1488	27	0	309	232	1	22	1369	0	797	7	12	5	0	2	7	0	4	16	0	2432	8	16	1	25029	0	88	0	122	103	50869	18120	4	20	697	460	9	1020	0	3	189	92	0	2	1733	3	26	34	171	0	2012	23	0	63	1	2201	0	3	1	1	64	26	3070	12547	0	9	1	7	28	0	4620	3526	14	0	2	12	2	2	0	1
ENSG00000011465	6766	2435	9509	10052	2886	3151	2513	3074	8000	3197	5416	3119	3269	6887	15014	3265	1874	5313	1906	15324	9448	5881	1190	9174	5396	5019	7313	5957	20013	2391	9869	537	1617	2322	13785	1069	7852	10437	1924	303	471	618	7376	1568	2893	7187	1533	5900	3666	15168	5885	4728	1440	1857	613	5868	728	7263	1027	3175	2696	6548	7191	3633	1393	54	2386	883	1372	25906	1986	23802	1961	7259	501	2145	3728	2232	9819	6210	4752	173	2727	1236	1453	5729	9368	3593	4599	3056	13706	30342	3805	4740	6720	4323	2935	13239	1944	1511	2613	9	1
ENSG00000011600	1526	1394	3871	2706	564	669	532	441	1154	764	4087	2520	385	629	2869	1437	329	3457	3104	2557	1233	1491	964	875	5148	1540	1538	1743	9240	504	851	751	2184	908	4132	1116	5459	1934	8699	4000	505	539	764	702	616	1634	1405	2644	903	1829	1753	915	2548	1256	1287	769	403	1345	264	936	2089	3796	841	8189	2326	756	2669	2094	2884	391	558	963	7569	769	1379	4350	1052	259	1113	1361	11849	2398	269	1469	5426	1845	948	1559	1616	525	1805	1866	1445	689	589	574	2575	1410	2651	2788	2000	0	0
ENSG00000012171	406	13454	15683	3761	3644	271	10370	6674	32	16268	4382	3272	1324	4212	1275	220	967	6067	2234	12138	979	655	1860	7020	361	42	1255	3507	6865	1864	4063	2924	2824	997	1511	8991	4987	20157	6789	79	732	5165	962	1115	21823	30707	9960	774	12670	5705	4143	6596	3508	102	1350	1877	1119	25130	3255	30337	1634	9401	2651	3335	193	132	6156	2577	222	499	2360	52907	57265	6112	6827	3675	10031	6626	7608	2736	75678	519	16833	15780	19681	1120	4738	1416	7906	3596	3234	375	460	655	5188	6897	19931	2185	6100	55	30592	655	13
ENSG00000019582	32123	53410	121529	122187	63144	21051	16634	15460	36042	13269	217578	61979	55334	18896	135612	35487	6029	551060	100641	103692	39259	40853	18049	29095	145313	71688	116645	119118	330804	23145	48677	14201	57441	22743	469002	22856	467872	269606	270768	347690	548183	9561	26800	13942	16822	154703	86450	85973	17965	60659	63223	58048	514171	38573	11765	61256	7646	143385	33599	27891	82377	185107	34159	198678	38768	10291	160756	60604	158775	20404	17866	31713	179819	19385	80457	368954	156545	7717	66805	40720	733355	47469	26116	180857	297689	204324	25995	53875	418157	26218	120004	148366	31479	16969	14351	17874	88758	53400	64808	36924	446740	77	3
ENSG00000021300	634	25659	18833	4296	12483	198	245	16389	32	2898	19867	51	15514	1303	1876	1625	879	17009	1940	1127	18684	385	1342	5549	19517	117	1335	5329	2196	688	8366	1335	1773	686	873	10197	1772	11834	1101	515	262	536	253	35528	855	1224	2008	7524	974	25504	317	1235	1689	17672	20821	1035	2421	4820	498	4677	19253	9100	2488	18802	7147	247	7134	2816	2676	34	2336	2739	15493	2145	904	1817	1301	784	6311	874	6292	1757	1006	5577	1705	1235	7342	879	1447	806	2667	574	3734	19834	8209	4297	740	9641	1867	183	530	195	141
ENSG00000025708	1418	5343	5745	16794	3064	4659	3547	1141	945	1649	6915	6829	10025	1501	4039	1311	2265	14769	15403	5221	1038	5822	1057	1147	14220	5917	14168	1757	22158	17534	8052	5241	6027	10855	16516	2440	12152	3048	4846	7597	7144	1115	7445	1077	3208	3068	2538	3326	1206	3476	12405	1849	7614	1381	4240	2225	1012	3110	3802	883	5019	6264	3768	6545	1156	728	4560	4550	14959	948	13332	2076	13440	6437	1217	7864	1660	1356	7365	4365	40942	7903	1289	5400	24126	7012	1498	5111	5572	1836	6612	5806	2841	1956	871	964	5523	2066	2488	2298	4713	898	290
