GeneID	Tumor_0	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Tumor_51	Tumor_52	Tumor_53	Tumor_54	Tumor_55	Tumor_56	Tumor_57	Tumor_58	Tumor_59	Tumor_60	Tumor_61	Tumor_62	Tumor_63	Tumor_64	Tumor_65	Tumor_66	Tumor_67	Tumor_68	Tumor_69	Tumor_70	Tumor_71	Tumor_72	Tumor_73	Tumor_74	Tumor_75	Tumor_76	Tumor_77	Tumor_78	Tumor_79	Tumor_80	Tumor_81	Tumor_82	Tumor_83	Tumor_84	Tumor_85	Tumor_86	Tumor_87	Tumor_88	Tumor_89	Tumor_90	Tumor_91	Tumor_92	Tumor_93	Tumor_94	Tumor_95	Tumor_96	Tumor_97	Tumor_98	Tumor_99	Tumor_100	Control_0	Control_1
ENSG00000000971	13.5478	1.77333	8.50693	6.41682	6.15831	1.29228	12.64	3.00677	4.30396	2.7336	4.76939	6.08247	25.5208	46.0804	5.70748	4.74906	3.3734	33.8152	5.48569	13.6007	27.5397	1.4494	2.11106	34.7832	5.43363	7.67206	31.0181	4.6485	13.3023	2.9769	13.988	1.35654	6.43845	1.56727	38.7979	3.74651	9.80111	8.44596	8.98819	7.92046	0.852626	1.28197	2.09889	0.664016	2.77738	5.94519	6.08607	8.04822	8.73172	9.50568	6.44319	3.84888	18.1439	2.98791	0.846467	3.93866	1.50803	4.25489	15.4032	2.84585	2.66375	6.21132	14.3993	30.1772	4.87899	4.40975	13.8202	1.68312	4.60756	23.5436	3.81936	2.79532	2.04929	2.83363	16.9033	4.86531	3.19551	1.54639	4.844	4.56769	37.6917	4.11255	2.60117	7.02346	5.80862	16.1001	5.46021	17.9724	6.71162	9.09772	10.8495	53.4483	3.65236	7.53659	6.58313	8.19918	1.78175	2.73222	3.89608	1.28207	4.93642	0.203431	0.115942
ENSG00000001617	1.85378	1.37332	10.9042	7.70015	2.69537	4.90975	2.85672	9.71645	0.847728	3.30108	3.05959	1.08231	11.2211	3.55102	2.51908	3.01326	1.55198	6.09172	3.34483	3.11567	2.03227	2.14037	7.65496	3.10585	0.874105	3.06578	12.7976	1.18055	18.921	12.8138	11.5018	4.59866	4.42424	48.7857	2.05124	3.19675	2.907	1.40433	5.84961	1.63856	0.852931	0.115014	14.1793	1.29063	1.82154	1.54885	1.9428	0.845913	12.5526	1.40577	4.18668	1.29284	3.05579	0.585645	3.22837	1.3851	2.74934	2.03169	7.78148	1.4933	1.34465	2.95381	1.56913	4.70417	1.93681	3.79717	2.16168	0.76905	0.470306	12.968	6.92501	4.50432	7.57097	5.04254	6.51551	4.02072	0.78063	2.79982	4.84753	2.29677	1.69234	1.36769	1.48654	1.67509	20.7225	5.96348	2.19935	1.91376	2.68839	3.65326	9.16909	10.0579	4.45024	5.74478	0.952945	2.54348	3.66069	5.536	4.43331	3.42612	1.11406	0.583761	0.648345
ENSG00000002746	1.75497	2.38877	0.295395	0.819655	0.550556	3.22257	0.172612	2.64954	1.70162	0	0	0.736504	0.989906	1.74263	0.0371707	6.50378	0.236684	3.24486	5.59914	0.137955	7.57284	2.45991	0	1.65017	2.03241	0.0699681	1.94104	2.6699	0.0355505	0.0576501	0.0111783	0	0	0	0.174565	0	2.01312	5.18514	0	0.110843	2.69895	0	0.913861	0.904696	2.20453	3.47863	0	0	0	1.93075	0.762838	2.43588	0	1.32131	12.5171	0.32893	0.0791348	0.80512	0	0.601297	0.699233	1.17861	0	8.91394	1.33361	0	0	0	8.60625	0.176752	0.0614822	1.86026	0.260795	0	9.69841	2.93781	0.553868	0.240876	10.2052	2.98432	0.035476	11.9644	2.04693	0.867898	1.10788	1.12679	0	0	0	3.47826	4.65464	4.78879	16.1739	12.6401	1.85981	0.786924	1.22626	0.690805	0	2.49642	3.59573	0	0
ENSG00000002822	1208.48	1079.52	615.698	1486.72	112.209	478.2	125.859	323.738	132.031	680.802	219.921	476.645	292.77	499.359	254.003	407.949	253.696	334.689	575.183	638.705	195.535	231.733	1451.51	228.109	74.5268	1918.2	162.864	422.188	383.705	343.55	72.4861	6803.22	716.862	3462	307.788	452.399	400.645	375.319	613.263	468.325	429.152	1681.62	417.375	605.883	183.976	1235.6	556.907	317.405	3463.28	237.752	636.885	137.402	254.453	1526.73	599.029	217.021	3633.55	150.409	6040.47	408.871	259.075	1341.88	714.112	1212.04	133.734	1379.58	2171.87	94.0182	708.327	98.2901	369.968	709.16	881.908	764.841	4130.96	1119.85	628.363	694.958	259.743	1210.1	282.985	2246.01	611.648	2472.86	807.268	949.911	213.915	804.516	518.071	95.8697	471.464	3506.77	186.004	489.564	147.939	619.647	1975.75	221.752	134.518	1598.62	433.591	146.141	170.144
ENSG00000002933	5.76505	10.9624	31.5342	17.2168	3.5243	1.8424	3.36954	8.07887	25.9768	11.8636	5.84969	4.1721	20.376	4.21142	24.6295	8.98047	7.45738	13.094	22.3552	25.6771	13.1104	4.10241	28.8444	7.37476	18.5224	35.6733	9.79735	18.1949	44.9619	5.49498	13.6078	21.05	21.2433	21.2281	20.6241	3.39673	20.5471	10.7025	60.6235	14.3612	1.1642	0.613893	9.84462	3.01572	3.56369	9.05953	11.4379	30.0596	11.1445	10.1202	7.0066	6.4556	5.44453	2.30564	10.4974	7.83974	9.05156	22.6174	9.32822	43.3859	7.04248	21.8837	9.79577	38.9728	6.90873	0.9911	32.7787	4.61691	6.93097	8.43033	0.967376	3.59185	37.6783	7.60152	66.6414	24.5635	3.66491	1.25108	7.09278	8.3663	79.5268	20.7279	4.31024	44.2478	39.4753	23.142	4.7616	16.3138	6.08695	5.70339	37.0898	15.6129	2.03031	15.7227	12.17	12.5892	15.3301	3.42908	11.9014	7.30444	13.2654	0	0
ENSG00000003137	1.67207	0.818051	3.75594	3.03103	1.01959	2.74284	0.380828	2.36649	0	0.927116	2.41448	0.698542	2.03035	2.73869	11.5096	1.30456	3.43509	4.62835	1.50015	2.96064	0.666055	3.0174	4.99041	1.91501	0.721223	4.89842	4.11334	2.00368	6.06344	2.61127	5.36624	3.00873	0.66234	7.12287	1.60212	0.838344	2.26437	2.81937	5.00321	5.43947	0.334603	3.39199	3.36048	2.26083	1.93473	1.65513	0.761696	0.730539	2.34376	2.25241	1.38064	2.73553	0.70879	0.885879	1.22721	4.3264	0.849228	1.11119	8.05702	2.90882	1.0884	0.932242	1.3937	1.60448	9.4312	0.893539	2.96642	1.22455	1.11473	5.42694	1.43688	1.26776	1.16238	2.59045	13.3334	3.57218	0.948466	1.75669	3.85386	2.13689	0.847478	5.61952	4.22833	1.27827	1.88861	1.32938	1.70634	0.946658	1.21691	1.03859	10.2957	8.59805	1.27183	3.97908	0.106993	2.58196	5.13489	2.80008	9.0637	0.724115	1.54924	0.173079	0.156918
ENSG00000003147	122.896	57.8394	24.9205	17.698	56.556	42.1534	13.0497	46.7689	20.7363	5.44819	81.7884	7.91202	24.1057	51.8069	16.9197	79.4484	128.746	66.2354	6.8766	4.80582	66.0489	12.4209	18.539	52.3483	287.946	107.558	29.4714	33.3699	35.6363	55.5959	9.32961	3.39263	41.1529	56.5069	38.3742	37.1163	49.6931	65.7449	56.6741	31.1632	17.7584	114.566	49.489	82.9524	1.4196	22.2144	124.786	23.9599	116.399	43.1136	90.8908	12.3992	25.2099	80.7756	15.8579	14.1718	127.645	60.0181	29.3064	25.2021	58.2651	38.681	54.6126	53.8272	60.0531	8.7578	146.619	95.9741	20.8016	223.119	41.5042	76.7339	44.8255	52.3847	11.9839	34.9968	100.022	46.8819	5.81037	12.7345	5.65004	10.9486	113.301	58.0636	35.7195	66.3923	66.0165	48.2531	51.4684	15.9709	42.0371	169.944	30.155	145.952	42.9069	105.841	10.3299	84.2014	10.2081	6.13696	34.1819	4.70772	5.29244
ENSG00000003400	6.4057	1.06579	2.9214	1.71205	8.50376	3.23002	1.76171	2.86113	3.601	0.932055	3.40493	4.21238	14.8275	1.58528	7.2344	5.13038	9.30938	6.12892	2.79414	1.75815	3.42486	6.87129	2.17641	8.71363	2.90067	1.63077	2.66451	4.83178	2.66038	5.02333	2.76372	1.40923	6.1148	4.15805	9.57986	3.73634	3.79934	13.9068	11.2134	1.22623	7.80716	2.32053	2.91114	2.43611	1.24509	5.8225	8.99536	3.89883	7.46679	4.13828	1.18615	6.6036	4.20762	2.77183	3.56442	2.14247	2.88823	3.69057	1.94291	6.50486	1.6355	2.02986	7.83103	7.88116	4.17814	1.52322	2.10754	9.79334	11.2096	9.20229	13.2079	3.79222	2.10762	3.28756	3.08372	1.15799	3.00842	2.89267	4.45213	2.07474	5.20361	4.3054	1.22714	0.852987	4.30983	2.58621	3.25898	0.97198	2.05841	3.29673	3.58332	4.22635	1.51592	1.86372	5.07462	3.6453	23.5985	10.4304	0.641523	4.21453	3.02747	0.10528	0.151913
ENSG00000003436	16.3582	3.24958	7.3583	28.7082	67.0942	16.895	3.80269	9.7799	23.3378	3.41714	19.8786	9.21253	6.36455	10.7121	34.2471	12.8658	21.4879	10.0785	16.539	23.9776	25.5113	8.22731	6.32534	33.0736	6.42636	5.39825	9.07536	9.4015	28.5297	4.19731	6.74216	16.7141	29.6878	9.39192	24.5745	7.82087	23.9873	11.0082	11.9318	9.4429	2.3761	3.64796	16.4536	18.913	2.20344	19.7458	9.72704	78.2347	16.7721	20.7662	17.4622	8.87001	4.72537	2.59823	11.7473	3.89463	5.0022	3.39301	10.9705	3.87162	12.5656	17.7752	10.5901	19.3356	10.5352	2.98195	0.733787	16.7256	5.009	5.14667	3.55271	11.7823	10.0039	7.07108	5.31116	2.74433	8.52048	8.15871	17.6289	12.6466	28.4085	6.8625	1.65835	31.958	3.70994	18.058	17.3499	38.5873	6.69778	3.03677	16.2401	183.629	12.1662	38.9614	15.2525	20.8227	12.8376	60.546	34.5041	28.9469	12.8904	3.11424	2.28784
ENSG00000004534	257.161	83.8555	61.3518	78.9001	133.426	53.6124	42.5807	72.2637	111.463	71.587	74.7211	166.357	96.2234	100.626	67.7461	114.318	219.635	81.7468	69.0629	81.1886	118.61	103.441	71.8612	84.1485	105.957	83.0061	45.5516	73.0779	68.199	68.7527	28.617	99.3631	354.377	48.6384	79.7094	84.4574	106.686	89.8689	92.7114	76.4083	140.341	128.003	116.613	61.2755	79.6067	128.582	220.741	104.881	86.6649	125.307	151.282	190.458	131.54	99.1786	87.7667	77.082	118.776	51.9641	132.612	154.896	65.2952	82.0024	86.2283	62.5056	105.83	30.9083	137.771	121.283	61.7048	117.483	93.6623	233.901	84.7511	118.216	283.933	91.0478	89.4256	130.135	135.955	114.639	119.265	65.6227	135.34	103.48	59.4919	77.6851	71.9477	81.8616	146.609	24.2276	70.4951	313.608	136.395	158.249	90.1876	122.89	87.369	101.684	60.8348	107.075	144.959	10.2828	8.52364
