GeneID	Tumor_0	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Tumor_51	Tumor_52	Tumor_53	Tumor_54	Tumor_55	Tumor_56	Tumor_57	Tumor_58	Tumor_59	Tumor_60	Tumor_61	Tumor_62	Tumor_63	Tumor_64	Tumor_65	Tumor_66	Tumor_67	Tumor_68	Tumor_69	Tumor_70	Tumor_71	Tumor_72	Tumor_73	Tumor_74	Tumor_75	Tumor_76	Tumor_77	Tumor_78	Tumor_79	Tumor_80	Tumor_81	Tumor_82	Tumor_83	Tumor_84	Tumor_85	Tumor_86	Tumor_87	Tumor_88	Tumor_89	Tumor_90	Tumor_91	Tumor_92	Tumor_93	Tumor_94	Tumor_95	Tumor_96	Tumor_97	Tumor_98	Tumor_99	Tumor_100	Control_0	Control_1
ENSG00000000460	5.70649	2.94762	2.93052	1.44293	3.92347	2.32012	6.71542	3.16503	4.9898	2.18037	1.58149	4.59412	0.840217	5.60425	4.29684	2.64451	4.08609	2.32075	5.98578	4.89292	3.49445	4.86252	6.78166	2.99618	4.45743	4.73321	2.2357	3.05107	1.32283	3.33189	2.15903	6.04437	2.09277	5.08071	6.20997	3.58554	3.65743	1.93333	1.27647	4.68042	2.9164	3.47723	4.56727	1.86065	3.32137	5.37699	3.038	3.66381	2.14937	3.58956	3.76098	7.16194	6.71321	5.38281	6.33486	2.35819	9.8336	3.44306	3.66595	5.09848	2.95838	3.63226	6.74268	1.85534	2.5035	2.7483	3.45476	3.74342	3.38581	2.67599	4.73743	1.57814	4.15636	2.82794	5.54372	5.70649	2.14252	4.08007	3.8353	3.74657	1.30688	5.21233	4.13902	4.22343	1.83086	1.41839	4.82357	1.05922	3.91168	7.10292	2.87516	4.9521	5.0193	2.1003	6.05065	3.97372	3.32431	3.6263	3.24997	1.83804	4.74511	10.0723	16.036
ENSG00000002933	5.76505	10.9624	31.5342	17.2168	3.5243	1.8424	3.36954	8.07887	25.9768	11.8636	5.84969	4.1721	20.376	4.21142	24.6295	8.98047	7.45738	13.094	22.3552	25.6771	13.1104	4.10241	28.8444	7.37476	18.5224	35.6733	9.79735	18.1949	44.9619	5.49498	13.6078	21.05	21.2433	21.2281	20.6241	3.39673	20.5471	10.7025	60.6235	14.3612	1.1642	0.613893	9.84462	3.01572	3.56369	9.05953	11.4379	30.0596	11.1445	10.1202	7.0066	6.4556	5.44453	2.30564	10.4974	7.83974	9.05156	22.6174	9.32822	43.3859	7.04248	21.8837	9.79577	38.9728	6.90873	0.9911	32.7787	4.61691	6.93097	8.43033	0.967376	3.59185	37.6783	7.60152	66.6414	24.5635	3.66491	1.25108	7.09278	8.3663	79.5268	20.7279	4.31024	44.2478	39.4753	23.142	4.7616	16.3138	6.08695	5.70339	37.0898	15.6129	2.03031	15.7227	12.17	12.5892	15.3301	3.42908	11.9014	7.30444	13.2654	0	0
ENSG00000003147	122.896	57.8394	24.9205	17.698	56.556	42.1534	13.0497	46.7689	20.7363	5.44819	81.7884	7.91202	24.1057	51.8069	16.9197	79.4484	128.746	66.2354	6.8766	4.80582	66.0489	12.4209	18.539	52.3483	287.946	107.558	29.4714	33.3699	35.6363	55.5959	9.32961	3.39263	41.1529	56.5069	38.3742	37.1163	49.6931	65.7449	56.6741	31.1632	17.7584	114.566	49.489	82.9524	1.4196	22.2144	124.786	23.9599	116.399	43.1136	90.8908	12.3992	25.2099	80.7756	15.8579	14.1718	127.645	60.0181	29.3064	25.2021	58.2651	38.681	54.6126	53.8272	60.0531	8.7578	146.619	95.9741	20.8016	223.119	41.5042	76.7339	44.8255	52.3847	11.9839	34.9968	100.022	46.8819	5.81037	12.7345	5.65004	10.9486	113.301	58.0636	35.7195	66.3923	66.0165	48.2531	51.4684	15.9709	42.0371	169.944	30.155	145.952	42.9069	105.841	10.3299	84.2014	10.2081	6.13696	34.1819	4.70772	5.29244
ENSG00000003393	3.56809	6.78892	6.16526	5.72608	4.7831	8.19441	10.4797	9.13765	5.4475	7.68263	6.78245	5.07686	3.01043	9.79846	4.81623	5.46192	4.93298	7.80727	6.12106	3.90307	3.77395	7.11283	7.86986	7.05096	4.62949	7.04968	4.11943	2.61865	3.92047	9.08398	4.04434	8.8185	5.0255	6.52664	4.24049	7.81545	2.72527	6.11177	24.2974	3.46836	6.56132	1.98219	6.32886	6.5173	12.2929	4.58981	7.27506	3.87011	7.33641	4.59868	7.55812	3.51728	3.81331	4.31623	4.09293	8.99435	10.7264	4.93947	4.90349	4.38138	9.1688	10.0676	7.39932	4.02426	5.9572	6.15683	9.45326	5.06892	3.31942	3.30911	5.28779	6.3007	5.55188	2.17957	5.00548	12.6679	4.56036	6.00374	3.29918	2.21292	5.33912	5.84804	5.13869	2.58771	2.0881	2.22276	3.37376	2.13541	8.94349	7.53502	3.8354	2.72495	6.40566	3.97457	6.92736	6.04359	6.07696	6.93153	8.44828	3.80702	5.57084	14.0127	14.1404
ENSG00000004700	9.39083	9.2793	5.9292	7.97314	12.3122	16.5928	30.4858	8.17773	21.7928	12.2308	13.6353	12.6684	7.00193	12.3415	2.78878	14.2787	19.4173	6.65214	16.1528	9.22465	11.9627	8.39089	6.83989	11.3342	15.1803	7.40817	6.83963	12.9407	5.23094	8.57693	11.2004	3.71989	11.9619	3.2477	16.6083	14.6341	11.8663	10.6278	2.62615	8.2905	18.1109	7.31929	4.8972	5.67512	26.4843	11.3425	10.8946	10.9044	8.53229	11.7324	28.093	10.2421	16.2561	9.78994	12.119	18.1097	8.20936	17.017	12.3757	15.1991	6.41098	12.0303	16.7716	5.15844	12.236	6.04483	6.38649	11.6085	13.8075	8.47535	12.4454	10.1088	16.1214	9.1217	2.15312	5.06849	11.3333	16.9085	4.91777	14.2811	12.8569	3.96012	6.46371	10.2505	7.09511	2.78562	15.3212	7.41685	18.4732	31.8465	4.01508	3.7165	18.5602	10.8894	20.7204	10.8362	3.70383	18.6786	11.6821	5.1175	20.372	43.8367	45.9277
ENSG00000004779	48.9488	64.4963	37.6577	37.0252	30.7684	57.7446	103.744	45.9934	109.858	72.1163	36.0358	49.6792	18.3413	36.0515	47.635	36.924	50.4581	35.6726	35.1365	30.8528	18.0639	30.592	62.5166	40.0387	19.5264	63.5422	29.7018	62.6352	37.9159	45.5162	37.5975	39.2861	52.8406	75.4598	28.371	28.9765	34.5701	54.6123	58.1155	48.6478	44.3508	46.9896	15.9211	32.3119	40.1596	67.4544	41.4879	22.7569	96.2895	39.3482	39.1666	32.5163	35.7168	38.3096	48.6202	53.836	50.6684	50.3011	71.9902	60.4215	50.1995	75.8562	46.9358	27.3295	44.9832	38.6531	57.754	25.7504	53.5643	17.9792	41.7175	47.1254	56.0281	52.1142	46.2644	35.2095	39.3688	30.6182	17.3275	47.3212	17.7891	48.6242	29.9021	42.9911	36.3903	41.9647	31.0083	76.1531	34.9887	88.9005	26.9301	11.9919	37.2722	44.3038	24.0307	29.6746	46.3782	42.5404	35.5712	25.8146	78.2615	149.063	133.726
ENSG00000004897	11.3031	24.4139	6.66348	11.8904	12.3551	9.75674	25.2779	10.2712	15.7792	12.4526	16.1593	15.6723	11.4146	15.8579	9.86023	16.4647	62.275	9.91397	6.97045	13.812	17.6056	8.05499	10.8892	13.3866	8.75197	10.422	7.79433	9.53412	12.5906	4.89373	12.714	10.1794	29.1324	1.96718	10.1471	34.6678	16.5622	10.7586	12.6277	6.81768	12.7584	5.5929	10.3837	14.7004	19.3745	23.4932	28.3734	17.2998	15.4424	12.1458	19.9609	12.5383	19.9984	8.07031	33.0609	17.5565	10.1736	7.03855	11.652	12.4127	7.78996	19.4496	20.7207	4.97325	11.5528	6.77315	22.3355	8.02862	10.988	7.59109	13.4417	10.8006	9.45834	7.88874	4.17193	7.02326	8.06946	22.2728	13.6843	14.2415	12.4014	46.1998	9.03526	8.54649	69.7932	10.2702	12.0375	6.47914	18.7073	27.1369	4.48903	11.2643	34.0419	36.0114	16.0886	18.9795	8.95063	47.4471	12.4373	36.6975	20.5829	57.1153	55.9253
ENSG00000004961	4.47002	14.1406	16.0416	6.34039	7.06076	10.2718	26.1373	9.46816	12.59	9.10158	4.96844	15.6094	9.26621	8.76461	8.03488	24.2083	8.8097	7.94741	13.3487	7.98672	5.64825	28.2133	10.8803	7.41217	10.2489	21.1298	8.06886	10.1516	7.27763	12.39	9.63118	7.81346	7.44599	27.448	7.11081	5.88111	14.7628	10.0409	13.4941	16.2364	14.3005	4.56864	9.81353	9.30794	22.6172	12.5512	4.43399	4.12605	25.248	6.88708	12.3444	10.0021	11.4088	8.78015	17.3582	12.8978	11.8808	7.96053	14.7359	15.7014	11.9723	31.2679	7.28461	5.87152	4.43856	4.27492	22.7562	12.219	18.4142	7.23568	11.0643	7.94863	11.8717	5.33707	7.44785	12.0672	8.11715	15.5617	2.20634	14.5766	6.22098	13.3834	8.09792	12.6236	5.35706	6.94899	16.2996	8.48302	8.02814	15.7276	13.0037	5.0119	13.7966	12.5958	12.1712	7.04154	5.06838	14.6509	14.1146	2.01276	10.8637	31.4303	29.7703
ENSG00000005022	205.231	345.845	322.093	147.363	214.727	153.3	437.505	391.749	265.031	129.43	107.03	188.334	176.559	207.786	418.874	429.558	251.167	201.398	222.043	152.405	101.677	114.055	483.136	326.769	67.5002	336.529	127.372	124.193	206.938	233.924	226.655	296.558	339.498	403.474	127.268	192.393	121.226	210.317	289.125	153.025	201.074	39.6355	139.002	343.377	277.15	125.355	109.527	81.4493	438.273	197.879	156.373	126.604	118.493	173.777	284.508	226.531	237.965	133.464	219.542	168.573	295.456	229.759	117.402	336.281	105.074	86.6199	364.633	143.809	279.879	87.96	192.624	191.411	236.094	128.224	254.216	105.663	118.85	137.992	169.406	229.724	51.437	3.20531	153.34	177.34	89.2378	194.773	200.732	164.265	183.61	433.642	225.763	206.255	160.028	571.74	249.17	435.655	290.837	244.106	96.7303	51.6762	120.735	617.585	833.436
ENSG00000005238	3.03563	6.6617	7.57896	17.0395	12.2295	7.10638	9.98636	18.3151	17.2068	6.20677	6.22225	4.91755	6.17119	9.08929	6.88074	3.57961	6.94847	8.92837	6.04871	16.9447	2.81143	11.4384	29.3882	9.58353	8.77271	28.1056	8.19788	12.6139	6.87624	16.308	8.97	23.9677	14.5698	15.3207	9.26921	10.2934	18.2559	9.7825	14.9808	9.75906	11.648	7.82729	23.0519	5.25572	14.9691	10.0126	7.81475	6.53718	24.4177	12.7374	16.1657	6.92599	14.7052	4.30636	5.89625	15.5629	16.5042	4.78498	20.8688	5.22022	6.21659	24.4044	13.7051	7.01209	5.23585	11.1934	15.5981	5.20482	5.94031	3.65714	7.36706	11.1896	12.014	7.25156	18.8808	6.31596	13.4328	13.4788	5.08587	13.4643	5.16683	18.9276	5.7418	15.8611	12.2824	9.97383	9.03949	11.0324	8.74453	14.9438	6.59952	4.4993	10.1926	12.4883	7.22994	9.11722	16.8294	9.82494	31.3798	31.8394	13.3642	40.8431	33.2734
