GeneID	Tumor_0	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Tumor_50	Tumor_51	Tumor_52	Tumor_53	Tumor_54	Tumor_55	Tumor_56	Tumor_57	Tumor_58	Tumor_59	Tumor_60	Tumor_61	Tumor_62	Tumor_63	Tumor_64	Tumor_65	Tumor_66	Tumor_67	Tumor_68	Tumor_69	Tumor_70	Tumor_71	Tumor_72	Tumor_73	Tumor_74	Tumor_75	Tumor_76	Tumor_77	Tumor_78	Tumor_79	Tumor_80	Tumor_81	Tumor_82	Tumor_83	Tumor_84	Tumor_85	Tumor_86	Tumor_87	Tumor_88	Tumor_89	Tumor_90	Tumor_91	Tumor_92	Tumor_93	Tumor_94	Tumor_95	Tumor_96	Tumor_97	Tumor_98	Tumor_99	Tumor_100	Control_0	Control_1
ENSG00000000938	0.424211	0.395534	3.70586	1.08994	0.223336	0.81366	0.733719	0.300651	2.48289	1.08811	1.94602	0.55882	0.501966	0.473155	1.184	0.502849	0.465159	1.82938	2.63356	2.35373	0.92484	0.491163	1.6807	0.984969	2.90752	1.82387	1.48173	1.30765	5.93209	1.09162	1.60594	2.22946	2.15183	0.762653	1.45562	0.924302	2.53537	0.626173	10.0322	6.22706	1.12847	0.669177	1.68855	0.859245	0.653552	0.843575	1.19602	1.27915	1.74312	0.392347	1.79125	0.0864596	1.49091	0.740801	0.437771	1.00607	1.503	1.86351	0.558199	0.931214	1.33948	2.13114	0.614898	5.24605	1.1402	0.842075	3.10714	0.892648	2.1839	0.577203	0.316511	0.544585	2.50468	1.48455	6.29554	2.77994	0.345131	0.339379	1.4708	1.5317	2.87955	3.22816	0.463045	1.59253	8.98587	0.527439	0.222986	1.43994	0.846718	0.869203	3.05837	5.4678	0.454572	0.541635	0.344492	0.863853	5.02233	0.748984	1.92466	1.04406	2.0255	0.029897	0
ENSG00000000971	13.5478	1.77333	8.50693	6.41682	6.15831	1.29228	12.64	3.00677	4.30396	2.7336	4.76939	6.08247	25.5208	46.0804	5.70748	4.74906	3.3734	33.8152	5.48569	13.6007	27.5397	1.4494	2.11106	34.7832	5.43363	7.67206	31.0181	4.6485	13.3023	2.9769	13.988	1.35654	6.43845	1.56727	38.7979	3.74651	9.80111	8.44596	8.98819	7.92046	0.852626	1.28197	2.09889	0.664016	2.77738	5.94519	6.08607	8.04822	8.73172	9.50568	6.44319	3.84888	18.1439	2.98791	0.846467	3.93866	1.50803	4.25489	15.4032	2.84585	2.66375	6.21132	14.3993	30.1772	4.87899	4.40975	13.8202	1.68312	4.60756	23.5436	3.81936	2.79532	2.04929	2.83363	16.9033	4.86531	3.19551	1.54639	4.844	4.56769	37.6917	4.11255	2.60117	7.02346	5.80862	16.1001	5.46021	17.9724	6.71162	9.09772	10.8495	53.4483	3.65236	7.53659	6.58313	8.19918	1.78175	2.73222	3.89608	1.28207	4.93642	0.203431	0.115942
ENSG00000001561	0.250487	0.3514	0.201959	0.237745	0	0.0913347	0.870188	0.112009	0.0767553	0.134224	0.448131	0.201265	1.06662	0.22099	0.240234	4.06414	1.01871	1.29286	0.123387	0.117451	2.9599	1.28838	0.37225	2.9785	4.39479	0	0.0466601	0.171572	0	0	1.20688	0	0.39972	0	0.529872	1.54297	0.3423	0.115613	0	0.115977	0.13826	0	0	0.502983	0.118524	0	0	0.308503	0	4.36089	0.133136	0.0933291	0.0957626	0	3.6499	1.14513	0.251357	2.10775	0	2.04198	1.31512	0.648614	0.114281	1.26757	0.848216	0.384575	0.308669	0.114325	0.806942	0.186156	0	0	0	0.146245	1.4668	0.228776	0.336869	0.0982584	0	0.148226	0.810924	0.246713	0.452324	0.233636	0.476937	0	0	0.169113	0	8.28007	0.111833	0	0	0.155405	1.88855	1.39924	0	0.231675	0.21186	0	0.42258	0.235964	0.00794436
ENSG00000001617	1.85378	1.37332	10.9042	7.70015	2.69537	4.90975	2.85672	9.71645	0.847728	3.30108	3.05959	1.08231	11.2211	3.55102	2.51908	3.01326	1.55198	6.09172	3.34483	3.11567	2.03227	2.14037	7.65496	3.10585	0.874105	3.06578	12.7976	1.18055	18.921	12.8138	11.5018	4.59866	4.42424	48.7857	2.05124	3.19675	2.907	1.40433	5.84961	1.63856	0.852931	0.115014	14.1793	1.29063	1.82154	1.54885	1.9428	0.845913	12.5526	1.40577	4.18668	1.29284	3.05579	0.585645	3.22837	1.3851	2.74934	2.03169	7.78148	1.4933	1.34465	2.95381	1.56913	4.70417	1.93681	3.79717	2.16168	0.76905	0.470306	12.968	6.92501	4.50432	7.57097	5.04254	6.51551	4.02072	0.78063	2.79982	4.84753	2.29677	1.69234	1.36769	1.48654	1.67509	20.7225	5.96348	2.19935	1.91376	2.68839	3.65326	9.16909	10.0579	4.45024	5.74478	0.952945	2.54348	3.66069	5.536	4.43331	3.42612	1.11406	0.583761	0.648345
ENSG00000002587	0.422218	1.40182	1.62112	0.983853	0.758197	0.130102	1.74132	0.0763752	0.248426	0.472109	2.87305	0.911868	1.24307	0.952156	0.0313921	1.21486	0.045901	0.81939	0.666933	0.669756	2.2655	0.303097	0.124304	3.65219	0.274669	0.98515	1.65597	0.0673003	2.78115	1.74876	2.16538	0.194538	0.130242	3.80934	0.31079	1.07928	0.456668	0.607436	0.929142	0.726161	0	0.0578457	0.181021	0.0931405	1.07126	0.517803	0.318004	0.46117	0.743751	0.746026	0.357225	0.914521	0.705546	1.12023	0.563774	3.20966	0.613347	0.0503776	0.0967824	0.212617	0.889779	1.19916	0.0660161	3.94639	0.991082	2.41693	0.364083	1.20159	0.122272	1.35686	0.796623	4.23812	0.820706	4.25194	0	0.143687	0.445852	0.531791	1.8384	0.804547	3.57277	0.153833	2.44224	0	0.841752	0.168333	0.706315	0.827481	0.093943	0.332216	0.437212	0	0.423188	2.9138	0.812921	1.1341	1.86066	0.643814	4.45137	1.50137	1.94549	0.0268303	0.00973026
ENSG00000003137	1.67207	0.818051	3.75594	3.03103	1.01959	2.74284	0.380828	2.36649	0	0.927116	2.41448	0.698542	2.03035	2.73869	11.5096	1.30456	3.43509	4.62835	1.50015	2.96064	0.666055	3.0174	4.99041	1.91501	0.721223	4.89842	4.11334	2.00368	6.06344	2.61127	5.36624	3.00873	0.66234	7.12287	1.60212	0.838344	2.26437	2.81937	5.00321	5.43947	0.334603	3.39199	3.36048	2.26083	1.93473	1.65513	0.761696	0.730539	2.34376	2.25241	1.38064	2.73553	0.70879	0.885879	1.22721	4.3264	0.849228	1.11119	8.05702	2.90882	1.0884	0.932242	1.3937	1.60448	9.4312	0.893539	2.96642	1.22455	1.11473	5.42694	1.43688	1.26776	1.16238	2.59045	13.3334	3.57218	0.948466	1.75669	3.85386	2.13689	0.847478	5.61952	4.22833	1.27827	1.88861	1.32938	1.70634	0.946658	1.21691	1.03859	10.2957	8.59805	1.27183	3.97908	0.106993	2.58196	5.13489	2.80008	9.0637	0.724115	1.54924	0.173079	0.156918
ENSG00000003147	122.896	57.8394	24.9205	17.698	56.556	42.1534	13.0497	46.7689	20.7363	5.44819	81.7884	7.91202	24.1057	51.8069	16.9197	79.4484	128.746	66.2354	6.8766	4.80582	66.0489	12.4209	18.539	52.3483	287.946	107.558	29.4714	33.3699	35.6363	55.5959	9.32961	3.39263	41.1529	56.5069	38.3742	37.1163	49.6931	65.7449	56.6741	31.1632	17.7584	114.566	49.489	82.9524	1.4196	22.2144	124.786	23.9599	116.399	43.1136	90.8908	12.3992	25.2099	80.7756	15.8579	14.1718	127.645	60.0181	29.3064	25.2021	58.2651	38.681	54.6126	53.8272	60.0531	8.7578	146.619	95.9741	20.8016	223.119	41.5042	76.7339	44.8255	52.3847	11.9839	34.9968	100.022	46.8819	5.81037	12.7345	5.65004	10.9486	113.301	58.0636	35.7195	66.3923	66.0165	48.2531	51.4684	15.9709	42.0371	169.944	30.155	145.952	42.9069	105.841	10.3299	84.2014	10.2081	6.13696	34.1819	4.70772	5.29244
ENSG00000003400	6.4057	1.06579	2.9214	1.71205	8.50376	3.23002	1.76171	2.86113	3.601	0.932055	3.40493	4.21238	14.8275	1.58528	7.2344	5.13038	9.30938	6.12892	2.79414	1.75815	3.42486	6.87129	2.17641	8.71363	2.90067	1.63077	2.66451	4.83178	2.66038	5.02333	2.76372	1.40923	6.1148	4.15805	9.57986	3.73634	3.79934	13.9068	11.2134	1.22623	7.80716	2.32053	2.91114	2.43611	1.24509	5.8225	8.99536	3.89883	7.46679	4.13828	1.18615	6.6036	4.20762	2.77183	3.56442	2.14247	2.88823	3.69057	1.94291	6.50486	1.6355	2.02986	7.83103	7.88116	4.17814	1.52322	2.10754	9.79334	11.2096	9.20229	13.2079	3.79222	2.10762	3.28756	3.08372	1.15799	3.00842	2.89267	4.45213	2.07474	5.20361	4.3054	1.22714	0.852987	4.30983	2.58621	3.25898	0.97198	2.05841	3.29673	3.58332	4.22635	1.51592	1.86372	5.07462	3.6453	23.5985	10.4304	0.641523	4.21453	3.02747	0.10528	0.151913
ENSG00000004468	0.317324	2.94663	2.21205	2.36426	0.477009	0.450871	0.219035	0.955663	0.84675	0	2.48766	0.518701	0.597441	0.367039	11.0756	0.919733	0	3.3099	3.84076	1.54454	0.943623	0.235123	0.245935	0.345114	4.86288	0	0.630542	0.962108	4.70671	0	1.21796	0	5.44315	0	5.21978	0.52363	1.45194	0	0.327428	2.83595	0.201691	0.797922	0.628529	0.686053	0.765157	0.564835	2.86843	1.71434	0	0.755972	0.448646	1.83392	2.45424	1.1221	0.950024	0.339923	0	1.5139	0.974507	0.851971	1.37188	0.232719	0.158378	5.09891	0.814494	0	1.24175	1.46417	3.75152	0.166516	2.66531	0.901712	0	1.46833	8.94945	3.97684	0.123121	0	0	1.41985	3.83616	1.48625	0	0.668829	4.46481	0.229948	0.15739	0	1.96214	0.282782	2.64356	1.11877	0.161378	0.263454	0.9965	0	1.55566	0	2.56278	1.52588	0.590918	0.055439	0.106963
ENSG00000004534	257.161	83.8555	61.3518	78.9001	133.426	53.6124	42.5807	72.2637	111.463	71.587	74.7211	166.357	96.2234	100.626	67.7461	114.318	219.635	81.7468	69.0629	81.1886	118.61	103.441	71.8612	84.1485	105.957	83.0061	45.5516	73.0779	68.199	68.7527	28.617	99.3631	354.377	48.6384	79.7094	84.4574	106.686	89.8689	92.7114	76.4083	140.341	128.003	116.613	61.2755	79.6067	128.582	220.741	104.881	86.6649	125.307	151.282	190.458	131.54	99.1786	87.7667	77.082	118.776	51.9641	132.612	154.896	65.2952	82.0024	86.2283	62.5056	105.83	30.9083	137.771	121.283	61.7048	117.483	93.6623	233.901	84.7511	118.216	283.933	91.0478	89.4256	130.135	135.955	114.639	119.265	65.6227	135.34	103.48	59.4919	77.6851	71.9477	81.8616	146.609	24.2276	70.4951	313.608	136.395	158.249	90.1876	122.89	87.369	101.684	60.8348	107.075	144.959	10.2828	8.52364
